Date,Open,High,Low,Close
2020-01-05,1.884,1.944,1.788,1.793
2020-01-12,1.788,1.9,1.765,1.82
2020-01-19,1.834,1.853,1.778,1.825
2020-01-26,1.801,1.808,1.672,1.689
2020-02-02,1.646,1.661,1.505,1.508
2020-02-09,1.548,1.67,1.52,1.585
2020-02-16,1.589,1.639,1.546,1.588
2020-02-23,1.542,1.585,1.449,1.473
2020-03-01,1.424,1.424,1.126,1.152
2020-03-08,1.124,1.17,0.674,0.765
2020-03-15,0.397,1.015,0.397,0.983
2020-03-22,0.75,1.261,0.709,0.885
2020-03-29,0.805,0.895,0.676,0.676
2020-04-05,0.656,0.731,0.571,0.599
2020-04-12,0.624,0.782,0.624,0.729
2020-04-19,0.727,0.775,0.591,0.643
2020-04-26,0.631,0.645,0.542,0.602
2020-05-03,0.618,0.665,0.583,0.618
2020-05-10,0.616,0.74,0.597,0.685
2020-05-17,0.694,0.726,0.596,0.646
2020-05-24,0.648,0.742,0.628,0.657
2020-05-31,0.7,0.728,0.646,0.653
2020-06-07,0.664,0.937,0.649,0.899
2020-06-14,0.9,0.929,0.653,0.707
2020-06-21,0.656,0.781,0.656,0.697
2020-06-28,0.692,0.732,0.633,0.641
2020-07-05,0.651,0.72,0.622,0.669
2020-07-12,0.694,0.704,0.573,0.646
2020-07-19,0.638,0.663,0.6,0.625
2020-07-26,0.627,0.627,0.571,0.59
2020-08-02,0.579,0.623,0.528,0.533
2020-08-09,0.548,0.569,0.505,0.566
2020-08-16,0.569,0.722,0.548,0.709
2020-08-23,0.693,0.7,0.628,0.635
2020-08-30,0.63,0.77,0.623,0.724
2020-09-06,0.746,0.746,0.615,0.72
2020-09-13,0.715,0.718,0.662,0.669
2020-09-20,0.664,0.698,0.648,0.697
2020-09-27,0.684,0.691,0.649,0.656
2020-10-04,0.664,0.715,0.643,0.704
2020-10-11,0.702,0.797,0.701,0.777
2020-10-18,0.76,0.76,0.694,0.749
2020-10-25,0.759,0.872,0.757,0.845
2020-11-01,0.808,0.875,0.748,0.874
2020-11-08,0.86,0.901,0.72,0.82
2020-11-15,0.824,0.966,0.8,0.9
2020-11-22,0.885,0.928,0.823,0.823
2020-11-29,0.829,0.887,0.829,0.842
2020-12-06,0.837,0.984,0.832,0.973
2020-12-13,0.949,0.951,0.877,0.898
2020-12-20,0.906,0.95,0.89,0.946
2020-12-27,0.911,0.97,0.888,0.926
2021-01-03,0.953,0.961,0.911,0.916
2021-01-10,0.945,1.122,0.906,1.117
2021-01-17,1.1,1.186,1.08,1.085
2021-01-24,1.112,1.121,1.077,1.089
2021-01-31,1.101,1.101,0.999,1.069
2021-02-07,1.084,1.181,1.064,1.169
2021-02-14,1.184,1.212,1.124,1.212
2021-02-21,1.228,1.358,1.223,1.34
2021-02-28,1.372,1.556,1.33,1.413
2021-03-07,1.408,1.613,1.395,1.568
2021-03-14,1.598,1.635,1.48,1.626
2021-03-21,1.621,1.751,1.588,1.73
2021-03-28,1.675,1.702,1.593,1.674
2021-04-04,1.641,1.774,1.635,1.672
2021-04-11,1.722,1.743,1.621,1.662
2021-04-18,1.657,1.7,1.53,1.582
2021-04-25,1.5606,1.6314,1.5331,1.5613
2021-05-02,1.5826,1.684,1.5579,1.624
2021-05-09,1.631,1.653,1.52,1.579
2021-05-16,1.597,1.705,1.561,1.633
2021-05-23,1.611,1.692,1.61,1.623
2021-05-30,1.62,1.625,1.554,1.581
2021-06-06,1.616,1.637,1.557,1.557
2021-06-13,1.577,1.582,1.43,1.454
2021-06-20,1.459,1.579,1.44,1.443
2021-06-27,1.404,1.544,1.396,1.526
2021-07-04,1.526,1.526,1.427,1.431
2021-07-11,1.444,1.446,1.251,1.361
2021-07-18,1.354,1.42,1.292,1.3
2021-07-25,1.287,1.312,1.137,1.278
2021-08-01,1.25,1.295,1.224,1.226
2021-08-08,1.234,1.305,1.134,1.3
2021-08-15,1.305,1.376,1.272,1.282
2021-08-22,1.26,1.298,1.222,1.255
2021-08-29,1.263,1.371,1.252,1.31
2021-09-05,1.3,1.334,1.273,1.326
2021-09-12,1.351,1.38,1.287,1.343
2021-09-19,1.339,1.384,1.265,1.363
2021-09-26,1.355,1.466,1.297,1.454
2021-10-03,1.449,1.56,1.444,1.463
2021-10-10,1.472,1.615,1.469,1.615
2021-10-17,1.607,1.619,1.507,1.574
2021-10-24,1.595,1.705,1.567,1.636
2021-10-31,1.652,1.67,1.52,1.561
2021-11-07,1.561,1.607,1.436,1.453
2021-11-14,1.469,1.584,1.417,1.565
2021-11-21,1.553,1.646,1.519,1.55
2021-11-28,1.569,1.688,1.475,1.482
2021-12-05,1.521,1.564,1.34,1.346
2021-12-12,1.377,1.533,1.372,1.487
2021-12-19,1.489,1.496,1.373,1.406
2021-12-26,1.367,1.499,1.365,1.493
2022-01-02,1.481,1.558,1.457,1.512
2022-01-09,1.536,1.794,1.531,1.765
2022-01-16,1.798,1.808,1.695,1.791
2022-01-23,1.838,1.897,1.74,1.77
2022-01-30,1.762,1.876,1.71,1.777
2022-02-06,1.789,1.932,1.739,1.912
2022-02-13,1.901,2.059,1.901,1.942
2022-02-20,1.963,2.059,1.906,1.927
2022-02-27,1.854,2.009,1.851,1.963
2022-03-06,1.918,1.922,1.688,1.734
2022-03-13,1.714,2.018,1.705,1.999
2022-03-20,2.034,2.239,2.034,2.153
2022-03-27,2.18,2.495,2.18,2.488
2022-04-03,2.505,2.535,2.309,2.391
2022-04-10,2.419,2.727,2.375,2.708
2022-04-17,2.763,2.832,2.655,2.828
2022-04-24,2.851,2.955,2.818,2.902
2022-05-01,2.835,2.939,2.724,2.939
2022-05-08,2.924,3.144,2.911,3.14
2022-05-15,3.145,3.203,2.817,2.922
2022-05-22,2.918,3.004,2.776,2.785
2022-05-29,2.828,2.869,2.711,2.743
2022-06-05,2.84,2.981,2.804,2.941
2022-06-12,2.95,3.174,2.937,3.163
2022-06-19,3.182,3.495,3.182,3.231
2022-06-26,3.284,3.311,3.011,3.136
2022-07-03,3.158,3.257,2.793,2.889
2022-07-10,2.937,3.099,2.756,3.084
2022-07-17,3.077,3.077,2.9,2.93
2022-07-24,2.941,3.073,2.734,2.75
2022-07-31,2.792,2.84,2.62,2.658
2022-08-07,2.667,2.867,2.529,2.827
2022-08-14,2.827,2.902,2.688,2.842
2022-08-21,2.846,2.996,2.761,2.976
2022-08-28,2.965,3.123,2.946,3.024
2022-09-04,3.121,3.295,3.052,3.193
2022-09-11,3.248,3.355,3.216,3.319
2022-09-18,3.339,3.4844,3.268,3.4533
2022-09-25,3.448,3.811,3.448,3.687
2022-10-02,3.719,4.011,3.686,3.829
2022-10-09,3.812,3.906,3.566,3.888
2022-10-16,3.951,4.063,3.856,4.022
2022-10-23,4.004,4.333,3.918,4.219
2022-10-30,4.2,4.276,3.902,4.01
2022-11-06,4.029,4.216,3.926,4.163
2022-11-13,4.154,4.241,3.811,3.811
2022-11-20,3.899,3.902,3.677,3.829
2022-11-27,3.82,3.842,3.6536,3.691
2022-12-04,3.696,3.794,3.479,3.492
2022-12-11,3.524,3.608,3.408,3.586
2022-12-18,3.584,3.622,3.43,3.488
2022-12-25,3.502,3.753,3.5,3.751
2023-01-01,3.745,3.901,3.73,3.879
2023-01-08,3.879,3.879,3.553,3.56
2023-01-15,3.56,3.634,3.427,3.498
2023-01-22,3.524,3.577,3.321,3.482
2023-01-29,3.484,3.561,3.421,3.507
2023-02-05,3.513,3.566,3.342,3.519
2023-02-12,3.56,3.751,3.539,3.744
2023-02-19,3.744,3.923,3.667,3.821
2023-02-26,3.849,3.974,3.846,3.947
2023-03-05,3.941,4.089,3.898,3.958
2023-03-12,3.965,4.011,3.68,3.704
2023-03-19,3.718,3.752,3.378,3.438
2023-03-26,3.47,3.64,3.293,3.373
2023-04-02,3.397,3.608,3.369,3.473
2023-04-09,3.522,3.543,3.266,3.413
2023-04-16,3.376,3.532,3.357,3.515
2023-04-23,3.528,3.637,3.503,3.568
2023-04-30,3.57,3.57,3.379,3.433
2023-05-07,3.448,3.606,3.311,3.441
2023-05-14,3.456,3.532,3.349,3.462
2023-05-21,3.466,3.733,3.459,3.691
2023-05-28,3.686,3.862,3.657,3.795
2023-06-04,3.827,3.845,3.57,3.699
2023-06-11,3.71,3.822,3.653,3.743
2023-06-18,3.764,3.854,3.675,3.769
2023-06-25,3.768,3.828,3.695,3.737
2023-07-02,3.731,3.895,3.678,3.841
2023-07-09,3.846,4.098,3.778,4.066
2023-07-16,4.069,4.092,3.754,3.83
2023-07-23,3.834,3.876,3.729,3.837
2023-07-30,3.84,4.044,3.792,3.955
2023-08-06,3.963,4.222,3.926,4.042
2023-08-13,4.053,4.185,3.953,4.158
2023-08-20,4.184,4.332,4.147,4.251
2023-08-27,4.25,4.366,4.175,4.231
2023-09-03,4.237,4.256,4.07,4.181
2023-09-10,4.189,4.312,4.186,4.26
2023-09-17,4.269,4.362,4.22,4.336
2023-09-24,4.338,4.511,4.301,4.438
2023-10-01,4.433,4.696,4.428,4.579
2023-10-08,4.61,4.892,4.602,4.795
2023-10-15,4.748,4.759,4.531,4.614
2023-10-22,4.646,4.999,4.635,4.918
2023-10-29,4.958,5.023,4.798,4.839
2023-11-05,4.882,4.938,4.481,4.577
2023-11-12,4.584,4.672,4.475,4.6558
2023-11-19,4.6439,4.6956,4.3791,4.4354
2023-11-26,4.4549,4.4939,4.3634,4.4724
2023-12-03,4.492,4.5136,4.1956,4.1956
2023-12-10,4.2242,4.2991,4.1039,4.2276
2023-12-17,4.241,4.2949,3.8854,3.9129
2023-12-24,3.9353,3.9707,3.8287,3.9006
2023-12-31,3.8987,3.9098,3.7833,3.866
2024-01-07,3.8808,4.1028,3.8808,4.0495
2024-01-14,4.0608,4.0684,3.9164,3.9427
2024-01-21,3.9975,4.1976,3.9841,4.1264
2024-01-28,4.1072,4.1877,4.0746,4.1393
2024-02-04,4.1316,4.1335,3.8165,4.0256
2024-02-11,4.0695,4.1948,4.058,4.1773
2024-02-18,4.1832,4.3304,4.1463,4.2831
2024-02-25,4.3047,4.354,4.2439,4.248
2024-03-03,4.233,4.322,4.175,4.182
2024-03-10,4.189,4.236,4.035,4.077
2024-03-17,4.065,4.323,4.051,4.308
2024-03-24,4.296,4.351,4.198,4.21
2024-03-31,4.208,4.275,4.182,4.21
2024-04-07,4.21,4.429,4.189,4.406
2024-04-14,4.427,4.594,4.341,4.523
2024-04-21,4.542,4.698,4.494,4.623
2024-04-28,4.653,4.745,4.567,4.667
2024-05-05,4.663,4.697,4.446,4.512
2024-05-12,4.509,4.523,4.417,4.498
2024-05-19,4.495,4.534,4.311,4.422
2024-05-26,4.409,4.507,4.398,4.457
2024-06-02,4.455,4.638,4.446,4.5
2024-06-09,4.49,4.499,4.245,4.436
2024-06-16,4.452,4.482,4.185,4.223
2024-06-23,4.243,4.302,4.207,4.258
2024-06-30,4.25,4.406,4.208,4.4
2024-07-07,4.398,4.497,4.266,4.28
2024-07-14,4.3,4.328,4.162,4.185
2024-07-21,4.243,4.25,4.141,4.241
2024-07-28,4.231,4.293,4.19,4.194
2024-08-04,4.176,4.19,3.78,3.794
2024-08-11,3.76,4.022,3.657,3.942
2024-08-18,3.947,3.97,3.797,3.885
2024-08-25,3.906,3.908,3.763,3.801
2024-09-01,3.787,3.929,3.774,3.905
2024-09-08,3.914,3.941,3.642,3.712
2024-09-15,3.737,3.763,3.603,3.655
2024-09-22,3.644,3.778,3.6,3.744
2024-09-29,3.757,3.826,3.728,3.752
2024-10-06,3.756,3.994,3.698,3.969
2024-10-13,3.98,4.127,3.969,4.102
2024-10-20,4.1,4.148,3.991,4.085
2024-10-27,4.084,4.264,4.077,4.242
2024-11-03,4.276,4.394,4.192,4.386
2024-11-10,4.309,4.488,4.265,4.306
2024-11-17,4.344,4.51,4.318,4.441
2024-11-24,4.44,4.493,4.337,4.402
2024-12-01,4.35,4.367,4.172,4.178
2024-12-08,4.215,4.286,4.123,4.155
2024-12-15,4.142,4.411,4.132,4.402
2024-12-22,4.391,4.597,4.362,4.524
2024-12-29,4.53,4.643,4.518,4.631
2025-01-05,4.628,4.63,4.507,4.601
2025-01-12,4.62,4.797,4.576,4.761
2025-01-19,4.764,4.823,4.561,4.623
2025-01-26,4.625,4.667,4.526,4.617
2025-02-02,4.583,4.595,4.483,4.543
2025-02-09,4.5,4.596,4.372,4.495
2025-02-16,4.485,4.661,4.446,4.477
2025-02-23,4.491,4.578,4.403,4.431
2025-03-02,4.44,4.456,4.192,4.202
2025-03-09,4.238,4.346,4.104,4.304
2025-03-16,4.284,4.356,4.165,4.32
2025-03-23,4.309,4.34,4.171,4.25
2025-03-30,4.271,4.403,4.244,4.253
