Date,Open,High,Low,Close,Volume
2020-03-08,214.4,221.55,172.05,172.05,0
2020-03-15,172.05,172.05,35.95,35.95,1050
2020-03-22,35.95,35.95,22.5,28.4,0
2020-03-29,34.7,66.5,34.55,42.55,34641
2020-04-05,47.9,77.8,47.9,62.8,20200
2020-04-12,65.8,72.6,65.75,70.4,26737
2020-04-19,69.5,69.5,47.352,49.9745,5000
2020-04-26,48.575,55.659,43.4605,50.6965,12704
2020-05-03,51.3665,63.379,31.754,33.271,135652
2020-05-10,35.284,42.066,35.09,40.2045,143010
2020-05-17,41.3,41.3,29.075,33.1965,115808
2020-05-24,36.93,42.412,36,37.633,108815
2020-05-31,39.5,42.2,34.3295,34.3295,21635
2020-06-07,36.6,54.683,36.6,54.683,297048
2020-06-14,59.796,59.796,36.739,40.1595,318134
2020-06-21,37.5,44.3,37,42.9325,45513
2020-06-28,40,44.916,37.399,37.645,39288
2020-07-05,38.567,39.4705,33.5,34.871,286634
2020-07-12,38,38,28.891,30.9525,484283
2020-07-19,32.735,37.3125,32.4,35.3125,142860
2020-07-26,32.8,35.602,30.279,30.279,23839
2020-08-02,30.2,30.861,22.562,22.5775,40033
2020-08-09,23.235,27.156,23.235,23.7515,49578
2020-08-16,25.046,29.9155,24.57,25.2095,294581
2020-08-23,25.097,25.097,21.5375,21.5375,39711
2020-08-30,24.181,24.741,21.149,21.149,59936
2020-09-06,19.512,20.439,19.082,19.082,21675
2020-09-13,19.7,20.723,18.616,19.661,1005180
2020-09-20,18.5775,19.5,16.8715,16.8715,112308
2020-09-27,15.573,17.882,15.063,15.3,850504
2020-10-04,15.46,15.671,11.294,12.1765,222573
2020-10-11,12.584,16.41,12.584,15.7065,522678
2020-10-18,16.178,16.178,11.848,13.735,3397726
2020-10-25,14.422,14.422,11.91,13.433,520071
2020-11-01,12.597,13.0615,10.085,13.0615,1234000
2020-11-08,13.683,15.6865,13.661,14.5635,876352
2020-11-15,15.5,28.75,15.5,22.602,883439
2020-11-22,23.28,28.65,23.28,26.9095,498056
2020-11-29,28.814,37.451,28.814,33.539,852843
2020-12-06,32,37.4,27.543,37.178,766608
2020-12-13,37,40.349,34.979,36.7755,616336
2020-12-20,36.691,37.325,33.444,35.085,356390
2020-12-27,35,35,27.8,31.1465,1235434
2021-01-03,30.912,32.141,28.4,29.0595,424156
2021-01-10,29.932,43.2,28.001,40.7555,474557
2021-01-17,40.167,43.591,40.167,41.937,318214
2021-01-24,40.137,41.374,35.298,36.365,388397
2021-01-31,36.029,36.135,30.76,30.76,109827
2021-02-07,30.601,31.764,27.534,30.9615,642627
2021-02-14,31.5,34.12,28.302,31.574,673181
2021-02-21,31.709,38.547,31.709,35.2035,1135688
2021-02-28,34.148,43.565,34.148,37.4565,595791
2021-03-07,39.799,48.938,37.711,46.644,435063
2021-03-14,48.5,50.115,45.704,49.589,445619
2021-03-21,50.074,50.074,39.714,42.0915,629283
2021-03-28,42.2,42.2,34.977,38.0455,818511
2021-04-04,36.905,38.113,34.728,34.7915,350953
2021-04-11,35.608,37.556,33.5,33.6,653963
2021-04-18,33,36.65,32,34.6,413063
2021-04-25,33.9,34.2,30.15,30.5,261798
2021-05-02,30,33,29.5,31,457768
2021-05-09,32.7,36.3,29,35.45,1270685
2021-05-16,35,35.25,30.5,35.25,779591
2021-05-23,34.6,37.4,31.5,33.6,574815
2021-05-30,33.5,34.4,29.6,30.15,813005
2021-06-06,30.3,34,30.3,33.1,830895
2021-06-13,32.6,35.3,31,34.9,1600836
2021-06-20,36.5,40.5,33.7,34.35,441378
2021-06-27,33.1,41.1,32.9,40.4,998129
2021-07-04,38.8,40,36.15,38.5,263658
2021-07-11,38.5,40.3,34.8,37.5,192020
2021-07-18,36.5,37.8,32.2,32.75,165735
2021-07-25,31.8,32.4,27.7,30.05,379887
2021-08-01,29.7,37.3,29.1,35.35,391695
2021-08-08,36.7,38.1,35.95,38,337623
2021-08-15,37,39,36,37.25,70089
2021-08-22,36,36.55,31.8,32.35,145301
2021-08-29,33.3,36.65,33.2,36.65,180934
2021-09-05,35.6,36.7,34.75,35.05,180393
2021-09-12,35.55,36.4,33.1,33.85,90953
2021-09-19,36,39,35.8,35.8,137581
2021-09-26,35.4,42.2,34.4,42,216485
2021-10-03,42.2,54.6,42.2,51.65,655493
2021-10-10,50.8,58.5,50.8,57.95,117779
2021-10-17,59.5,64.3,57.2,64.1,705208
2021-10-24,62.8,65.9,62.15,62.15,61797
2021-10-31,63.7,65.6,54.3,54.3,440449
2021-11-07,55.1,55.5,49.1,54.4,347806
2021-11-14,57,57,51.9,52.1,25301
2021-11-21,54.85,58.2,48.75,48.75,82363
2021-11-28,47.7,70,42.5,43.3,80691
2021-12-05,48.5,51.5,43.6,51.2,239250
2021-12-12,54.5,56.1,52.2,52.2,22706
2021-12-19,48,49.2,45.8,46.4,53655
2021-12-26,41.9,50.8,41.9,50.55,198080
2022-01-02,49.2,49.2,47.75,48.15,41828
2022-01-09,50,58.9,50,58.35,300174
2022-01-16,58.9,67.5,58.2,67.35,124430
2022-01-23,69.8,74,65.2,65.25,44823
2022-01-30,63.5,78.8,59.1,75,406481
2022-02-06,74.5,90.8,72.2,90.8,73397
2022-02-13,93,96.3,85,92.05,326657
2022-02-20,89.3,90.1,82.5,82.95,814886
2022-02-27,80.9,89,78.6,88.2,877435
2022-03-06,83.2,93.9,67,67,675544
2022-03-13,75.1,91,74.7,77.55,930181
2022-03-20,75.6,78.35,69.1,75.9,44130
2022-03-27,84.1,96.1,82.5,96.05,351024
2022-04-03,94.8,96,83.9,96,77811
2022-04-10,95.4,102.2,91.25,102.2,72481
2022-04-17,97.7,106.5,97.7,105.1,31175
2022-04-24,113.7,113.7,104.55,104.55,9424
2022-05-01,106.7,106.7,88.65,100.75,28852
2022-05-08,107.9,122.6,106.5,120.45,39663
2022-05-15,117.3,121.75,104.8,119.3,31819
2022-05-22,121,130.6,121,126.1,21740
2022-05-29,134.8,137.55,129.1,133.45,30752
2022-06-05,132.7,138,129.85,129.85,14209
2022-06-12,138.1,142.6,125.5,125.5,109370
2022-06-19,114.2,121.05,80,80,113593
2022-06-26,90,95,79.45,86.25,299833
2022-07-03,91.4,99.6,88.65,88.65,511250
2022-07-10,98.5,101.15,68.8,77.65,813792
2022-07-17,74.3,76.8,63.9,71.2,338980
2022-07-24,77.3,78.5,72.8,76.5,734398
2022-07-31,75,92.7,75,92.55,239395
2022-08-07,91.8,91.8,81.8,88.5,271829
2022-08-14,90.35,98.8,90.35,98.6,7170
2022-08-21,96.1,102.5,89.5,102.25,197916
2022-08-28,102.8,115.1,102.8,113.95,67278
2022-09-04,115.3,115.3,102.8,112.65,259959
2022-09-11,116.1,116.1,102.7,109.15,179987
2022-09-18,112.3,115.35,107.5,108.6,40471
2022-09-25,110.4,116.5,93.9,95.7,211292
2022-10-02,94.5,102.5,89.9,100.15,264419
2022-10-09,103.1,118.1,100.2,112.65,304295
2022-10-16,111.2,111.2,99.4,102.6,129573
2022-10-23,103.3,111.15,99.45,111.15,30521
2022-10-30,102.5,123.7,101.5,119.95,61023
2022-11-06,118.9,138.25,118.9,138.25,10309
2022-11-13,132.8,133.15,107.95,113.7,63122
2022-11-20,109.9,121.4,109.6,111.7,241243
2022-11-27,101.2,115,101.2,113.35,39581
2022-12-04,112.15,123.15,112.15,113.3,7388
2022-12-11,114.15,114.15,101.55,101.55,0
2022-12-18,101.95,105.1,95.3,95.3,12000
2022-12-25,101.7,110.2,101.7,110.05,0
2023-01-01,101,109.25,101,106.6,12000
2023-01-08,114.2,116.9,99.1,107.4,8478
2023-01-15,111,120.1,110.25,120.1,13378
2023-01-22,116.75,117.6,107.95,108.3,44842
2023-01-29,109,109.8,104.25,109.8,18418
2023-02-05,108.6,115,104.5,115,92912
2023-02-12,112.5,131.7,111.45,131.7,9675
2023-02-19,132.3,140.3,132.3,135.55,4371
2023-02-26,133,133,120.75,129.15,16210
2023-03-05,134.3,145.1,132.55,141.3,2
2023-03-12,143,143.05,134.2,134.2,0
2023-03-19,123.5,123.5,81.7,85.8,52423
2023-03-26,87.6,97.55,82.95,82.95,10575
2023-04-02,86.15,96.7,86.15,95.45,3143
2023-04-09,104.1,108.4,101,108.4,7254
2023-04-16,110.5,114.6,110.5,114.6,0
2023-04-23,113.3,114.7,112.05,112.65,0
2023-04-30,113.45,113.45,104,112.4,15658
2023-05-07,109,109.9,94.1,102.8,53792
2023-05-14,100.3,104.7,100.3,104.65,2682
2023-05-21,105,107.75,101.55,107.75,0
2023-05-28,105.95,108.6,98.95,99.85,24
2023-06-04,95,97.1,84.9,91.65,5132
2023-06-11,91.05,93.45,84,91.1,50382
2023-06-18,89.4,96.2,89.1,95.7,11244
2023-06-25,96.5,98.85,93.15,93.15,6441
2023-07-02,95.1,95.8,93.9,95.8,6009
2023-07-09,98.7,100.7,85.95,88,5422
2023-07-16,90,97.2,89.8,91.05,56562
2023-07-23,90.7,103.5,90.7,103.5,0
2023-07-30,106.7,106.7,94,94,4775
2023-08-06,97.05,98.7,90.2,98.7,0
2023-08-13,97.4,107.4,96.1,104.95,86
2023-08-20,103.3,103.3,96.1,97.65,860
2023-08-27,100.3,100.4,96.65,100.3,7370
2023-09-03,99,108.1,99,108.1,2815
2023-09-10,108.6,115.25,107.8,115.25,1410
2023-09-17,115.1,126.65,115.1,126.65,14
2023-09-24,127.2,130.35,125.6,129.5,90966
2023-10-01,128.95,136.65,126.9,129.45,2495
2023-10-08,125.5,125.5,115.7,124.6,2872
2023-10-15,134.45,144.5,133.35,144.5,1806
2023-10-22,149.45,155.3,145.25,145.25,19058
2023-10-29,144.5,144.5,138.05,139.65,674
2023-11-05,137.5,150.3,130.25,130.4,7717
2023-11-12,134.85,134.85,122.85,127.05,1529
2023-11-19,3266.5,3266.5,2999,3178,4
2023-11-26,3177,3292.5,2989,3115,4
2023-12-03,3034,3051,2958.5,3012,60
2023-12-10,2882,2882,2708,2820.5,678
2023-12-17,2789,2823,2746,2755,463
2023-12-24,2877,3011.5,2863,2957.5,185
2023-12-31,2937,2953,2890,2953,186
