Date,Open,High,Low,Close,Volume
2020-04-12,8282.08,8641.63,8225.16,8421.54,10762387
2020-04-19,8326.68,8538.24,8268.8,8440.51,7315750
2020-04-26,8298.21,8440.51,8187.22,8217.58,6849211
2020-05-03,8293.48,8331.41,7772.64,7808.69,10163672
2020-05-10,7772.64,8187.22,7734.69,8073.38,5820746
2020-05-17,8092.34,8319.09,8016.44,8290.63,6417675
2020-05-24,8301.05,8452.85,8098.98,8131.24,5979281
2020-05-31,8209.98,8402.57,8045.86,8203.34,8289404
2020-06-07,8368.41,8776.35,8331.41,8610.34,7772590
2020-06-14,8590.42,8593.26,8115.12,8223.28,8596565
2020-06-21,8234.65,8367.47,8186.28,8186.28,6254921
2020-06-28,8139.78,8326.68,8121.75,8194.81,5560597
2020-07-05,8269.41,8290.45,8086.72,8290.45,5879801
2020-07-12,8339.23,8415.75,8025.53,8042.73,6476073
2020-07-19,8142.2,8239.76,8036.99,8096.3,4464665
2020-07-26,8129.78,8368.88,8101.08,8110.64,3604291
2020-08-02,8050.39,8179.51,7230.71,7303.4,9375462
2020-08-09,7446.87,7700.33,7380.86,7533.91,6739235
2020-08-16,7571.2,7804.58,7502.33,7777.79,5047657
2020-08-23,7737.62,7869.61,7662.07,7750.07,4060879
2020-08-30,7730.94,7795.98,7556.86,7659.2,5043682
2020-09-06,7712.75,7808.41,7593.22,7610.42,4181115
2020-09-13,7466.95,7837.1,7442.09,7786.4,6347576
2020-09-20,7777.79,7848.58,7617.12,7745.27,5306009
2020-09-27,7816.06,7858.14,7694.59,7695.54,3384726
2020-10-04,7783.54,7822.75,7429.66,7438.26,6242187
2020-10-11,7459.31,7580.76,7401.92,7430.61,6393265
2020-10-18,7402.88,7578.86,7370.36,7387.56,4366590
2020-10-25,7446.87,7563.56,7231.67,7304.36,4830395
2020-11-01,7268.98,7321.58,7096.8,7096.8,7496104
2020-11-08,7158.03,7334.97,7135.07,7311.06,5649051
2020-11-15,7221.14,7764.4,7173.33,7542.5,9263589
2020-11-22,7597.02,7648.68,7376.1,7488.94,6262572
2020-11-29,7670.68,7774.93,7541.54,7555.9,5259797
2020-12-06,7611.38,7684.07,7436.35,7517.64,7054572
2020-12-13,7518.59,7617.12,7344.54,7393.31,7802758
2020-12-20,7412.43,7515.72,7392.35,7464.08,6166068
2020-12-27,7523.38,7589.38,7410.51,7520.52,4089001
2021-01-03,7529.12,7783.35,7497.56,7690.71,2838428
2021-01-10,7710.01,7715.8,7421.48,7569.12,5467084
2021-01-17,7530.52,7601.93,7401.22,7547.9,4447035
2021-01-24,7509.29,7537.28,7351.05,7415.69,4876070
2021-01-31,7379.02,7458.15,7272.87,7330.78,7171614
2021-02-07,7411.84,7601.93,6968.92,7005.59,15060563
2021-02-14,7063.48,7379.02,7024.89,7223.67,10099932
2021-02-21,7203.41,7276.74,7117.52,7174.45,9353678
2021-02-28,7106.91,7134.9,6781.72,6893.66,10524198
2021-03-07,6966.99,7058.66,6781.72,7055.77,11012925
2021-03-14,7034.53,7049.97,6775.93,6871.46,11653056
2021-03-21,6851.2,7116.57,6817.42,7045.15,11329728
2021-03-28,6998.84,7022.96,6871.46,6959.27,9634314
2021-04-04,7015.23,7198.58,6994.97,7141.65,10053088
2021-04-11,7143.57,7311.48,6961.2,7077.96,8348660
2021-04-18,7120.41,7134.9,6941.9,6986.3,5793107
2021-04-25,6995.93,7013.3,6808.74,6949.62,6514382
2021-05-02,6960.24,6966.02,6691.97,6761.45,8017556
2021-05-09,6799.08,6825.14,6684.26,6746.02,4858246
2021-05-16,6673.64,6870.5,6412.14,6580.04,12805647
2021-05-23,6584.87,6633.12,6503.81,6619.6,7033575
2021-05-30,6634.08,6675.57,6525.04,6525.04,10741305
2021-06-06,6506.7,6566.54,6263.54,6407.32,10293307
2021-06-13,6426.61,6628.29,6393.81,6628.29,7803039
2021-06-20,6644.69,6685.22,6513.45,6523.11,7563132
2021-06-27,6445.9,6606.09,6306.96,6601.27,8409908
2021-07-04,6639.87,6754.81,6587.76,6751.89,7286464
2021-07-11,6747.01,6747.01,6428.14,6498.35,7710766
2021-07-18,6613.42,6713.86,6517.85,6604.64,6919600
2021-07-25,6573.43,6660.22,6498.35,6623.17,3215426
2021-08-01,6785.04,6785.04,6410.59,6410.59,10960957
2021-08-08,6476.9,6662.17,6438.87,6624.15,7413682
2021-08-15,6633.9,6640.72,6539.3,6596.84,3928040
2021-08-22,6566.61,6600.74,6431.07,6551.98,5201800
2021-08-29,6599.77,6672.9,6453.49,6473.98,6175299
2021-09-05,6494.45,6590.99,6396.94,6576.36,6538220
2021-09-12,6640.72,6796.75,6603.66,6787.96,8599457
2021-09-19,6774.32,6780.17,6563.68,6642.68,7367841
2021-09-26,6583.19,6632.92,6446.66,6588.06,4779298
2021-10-03,6576.36,6615.37,6407.66,6436.92,9785642
2021-10-10,6478.85,6544.19,6343.3,6470.07,7021946
2021-10-17,6503.23,6521.75,6355.98,6493.47,6319483
2021-10-24,6477.87,6477.87,6223.36,6232.13,7145516
2021-10-31,6193.13,6364.76,6136.57,6271.15,7743890
2021-11-07,6368.66,6451.55,6080.02,6174.6,11091503
2021-11-14,6144.38,6201.91,6049.79,6157.05,6315176
2021-11-21,6159,6172.66,6042.96,6071.24,6354146
2021-11-28,6065.39,6080.02,5845.98,5891.81,5752388
