Date,Open,High,Low,Close,Volume
2020-04-12,60.8862,65.9369,60.5206,65.0373,757914035
2020-04-19,65.1159,69.9508,64.5098,68.6291,854572424
2020-04-26,67.4526,68.6815,64.4133,68.6717,699882249
2020-05-03,68.3848,72.5585,67.5147,70.1499,813887481
2020-05-10,70.1754,75.5199,69.4837,75.4647,692843110
2020-05-17,74.974,77.7906,73.0512,74.8782,856991388
2020-05-24,76.2058,78.0852,75.5139,77.5983,547698286
2020-05-31,78.7209,78.9001,76.186,77.3669,540262779
2020-06-07,77.3204,80.7263,77.1885,80.6663,511600506
2020-06-14,80.3627,86.327,79.6472,82.4423,834059979
2020-06-21,81.0908,86.7655,80.9273,85.099,801299912
2020-06-28,85.4941,90.6149,85.4479,86.052,907185564
2020-07-05,85.9574,90.1476,85.4794,88.5995,509221963
2020-07-12,90.0325,93.7505,90.0018,93.3623,579519676
2020-07-19,94.671,97.2964,91.3756,93.7605,738280728
2020-07-26,93.8452,96.6056,86.7704,90.1456,683631677
2020-08-02,91.2139,103.585,90.7615,103.436,870806792
2020-08-09,105.301,111.361,105.004,108.337,1030523565
2020-08-16,109.805,113.146,106.395,112.043,965951220
2020-08-23,113.165,121.749,111.118,121.265,857036030
2020-08-30,125.492,125.572,119.986,121.699,1090800336
2020-09-06,124.4,134.542,108.12,117.944,1198338671
2020-09-13,111.118,117.502,107.262,109.213,791142105
2020-09-20,111.865,115.864,103.456,104.185,969065529
2020-09-27,101.931,110.059,100.539,109.489,868847993
2020-10-04,112.139,114.782,109.429,110.219,657615952
2020-10-11,111.078,114.093,109.459,114.063,562584061
2020-10-18,117.078,122.261,115.203,116.061,904085346
2020-10-25,116.979,117.422,111.429,112.168,532837935
2020-11-01,111.166,114.365,105.024,106.149,702254872
2020-11-08,106.395,116.643,104.642,115.933,624936349
2020-11-15,117.707,119.157,111.478,116.497,603894697
2020-11-22,116.16,118.181,114.103,114.614,398751946
2020-11-29,114.464,114.881,109.98,113.885,373701031
2020-12-06,114.26,120.912,114.103,119.413,556736030
2020-12-13,119.472,123.03,117.373,119.571,462493438
2020-12-20,119.746,126.579,118.713,123.729,636537866
2020-12-27,122.114,131.279,120.575,128.904,444067909
2021-01-03,130.874,135.567,128.657,129.613,451587646
2021-01-10,130.422,130.51,123.454,128.982,625310178
2021-01-17,126.192,128.391,123.927,124.182,494511152
2021-01-24,124.805,136.601,124.005,135.831,440288747
2021-01-31,139.753,141.714,127.199,128.894,734034448
2021-02-07,130.647,134.432,127.879,133.792,449629993
2021-02-14,133.073,134.876,130.796,132.421,353229160
2021-02-21,132.54,133.053,124.626,127.051,371265618
2021-02-28,125.218,126.901,115.816,118.616,701247927
2021-03-07,121.06,125.919,115.01,118.772,678214204
2021-03-14,118.29,120.525,113.676,118.388,600033578
2021-03-21,118.762,124.449,117.078,117.383,640711832
2021-03-28,117.717,121.532,116.34,118.566,499698915
2021-04-04,118.998,121.473,116.28,120.319,367909525
2021-04-11,121.177,130.146,120.388,130.106,457781432
2021-04-18,129.643,132.057,127.781,131.239,454058787
2021-04-25,130.608,132.58,128.44,131.388,430616846
2021-05-02,131.891,134.097,128.205,128.599,512779090
2021-05-09,129.169,131.152,123.956,127.591,463759480
2021-05-16,126.813,126.941,119.786,124.881,524711092
2021-05-23,124.271,125.425,120.388,122.912,394276124
2021-05-30,123.484,125.741,122.045,122.104,364949690
2021-06-06,122.566,123.632,120.655,123.364,284022685
2021-06-13,123.641,125.879,122.33,124.785,333755764
2021-06-20,125.248,129.888,124.519,127.829,466518760
2021-06-27,127.681,131.93,126.619,130.441,361419563
2021-07-04,130.736,137.191,130.676,137.151,327951181
2021-07-11,137.26,142.73,137.26,142.199,427144237
2021-07-18,143.271,146.986,140.75,143.45,514591404
2021-07-25,140.857,145.726,138.817,145.569,450620044
2021-08-01,145.281,146.82,139.675,142.929,432006273
2021-08-08,143.42,145.058,142.267,143.42,290312975
2021-08-15,143.48,146.663,142.602,146.316,305266325
2021-08-22,145.766,148.858,141.812,145.42,437780086
2021-08-29,145.539,148.053,144.1,145.826,277294995
2021-09-05,146.218,152.082,145.836,151.422,394102890
2021-09-12,152.073,154.329,145.924,146.189,361634517
2021-09-19,147.825,148.605,143.044,143.34,502241438
2021-09-26,141.123,144.72,138.629,144.189,401513212
2021-10-03,142.77,143.242,136.522,139.991,449800941
2021-10-10,139.115,141.527,135.694,140.237,390178850
2021-10-17,139.615,142.199,136.611,142.15,360820146
2021-10-24,140.78,147.383,140.493,145.914,347158695
2021-10-31,145.904,150.318,143.687,147.006,400195390
2021-11-07,146.209,149.598,145.038,148.684,330135139
2021-11-14,148.81,148.967,144.938,147.412,286730831
2021-11-21,147.787,158.251,146.77,157.789,470510778
2021-11-28,158.891,162.854,153.67,154.111,366231338
2021-12-05,156.634,167.366,155.088,159.051,681705025
2021-12-12,161.464,176.545,161.454,176.365,579188154
2021-12-19,177.992,178.997,166.766,168.195,783259869
2021-12-26,165.386,173.803,164.578,173.25,365461831
2022-01-02,174.039,178.208,174.019,174.514,346201851
2022-01-09,174.768,179.793,168.086,169.212,490599328
2022-01-16,166.165,174.128,165.277,170.101,430051281
2022-01-23,168.561,169.573,159.503,159.611,407256793
2022-01-30,157.277,167.416,152.035,167.396,700721144
2022-02-06,167.23,173.21,166.589,169.642,466470312
2022-02-13,170.11,173.832,165.357,165.947,419592505
2022-02-20,164.698,170.58,163.544,164.628,369909523
2022-02-27,162.351,164.038,149.578,162.224,421006777
2022-03-06,160.46,166.215,159.386,160.567,425539116
2022-03-13,160.755,162.39,152.035,152.26,529781607
2022-03-20,149.036,161.857,147.707,161.366,511276004
2022-03-27,160.904,172.481,160.42,171.931,453311725
2022-04-03,169.428,176.748,169.202,171.527,472936154
2022-04-10,171.782,175.646,166.502,167.376,399547549
2022-04-17,166.015,168.541,162.41,162.656,302280083
2022-04-24,161.306,168.795,158.921,159.207,382893060
2022-05-01,158.547,163.554,152.901,155.138,550474563
2022-05-08,154.21,163.829,150.832,155,575941310
2022-05-15,152.679,154.468,136.787,144.978,696323575
2022-05-22,143.44,147.597,130.686,135.595,556310804
2022-05-29,135.792,147.509,135.151,147.471,503218064
2022-06-05,146.907,149.54,142.363,143.271,343909844
2022-06-12,144.899,147.697,135.072,135.141,359610440
2022-06-19,130.943,135.348,127.169,129.653,548965810
2022-06-26,131.484,139.853,131.388,139.606,320608930
2022-07-03,140.627,141.412,131.835,136.915,379280971
2022-07-10,135.773,145.41,134.944,144.909,282389855
2022-07-17,143.559,148.675,140.059,147.994,371871988
2022-07-24,148.556,154.014,144.572,151.855,366299779
2022-07-31,151.776,161.257,148.615,160.155,376000658
2022-08-07,158.677,164.767,157.316,163.179,327078785
2022-08-14,164.186,169.91,161.107,169.84,323099337
2022-08-21,169.27,173.837,169.06,169.27,326939996
2022-08-28,167.462,168.803,161.412,161.471,311281848
2022-09-04,159.03,160.761,152.639,153.765,395593192
2022-09-11,154.416,155.748,150.675,155.303,318349316
2022-09-18,157.495,162.102,146.422,148.721,575899716
2022-09-25,147.35,156.654,146.61,148.455,479843813
2022-10-02,147.695,152.689,136.188,136.385,585221222
2022-10-09,136.395,145.603,135.876,138.252,441740644
2022-10-16,138.575,142.623,132.605,136.563,429832221
2022-10-23,139.214,145.907,138.431,145.335,402501482
2022-10-30,145.251,155.432,142.238,153.696,519919641
2022-11-06,151.144,153.408,132.836,136.79,517218520
2022-11-13,135.535,148.285,133.046,147.98,466395011
2022-11-20,147.259,151.824,144.469,149.551,387129077
2022-11-27,148.435,150.087,145.236,146.408,206397647
2022-12-04,143.473,147.416,138.74,146.111,405853665
2022-12-11,146.071,149.186,138.393,140.526,345470670
2022-12-18,141.059,148.246,132.194,132.965,511608880
2022-12-25,133.557,135.237,128.15,130.345,389092383
2023-01-01,129.869,129.899,124.423,128.437,310755750
2023-01-08,128.782,129.395,122.744,128.13,374249894
2023-01-15,128.965,133.368,126.649,133.211,337210951
2023-01-22,133.279,137.017,132.233,136.286,274983939
2023-01-29,136.533,145.538,136.315,144.254,342593243
2023-02-05,143.288,155.572,139.696,152.724,485833515
2023-02-12,150.822,153.445,147.731,149.503,334515896
2023-02-19,149.445,154.769,149.346,151.027,320083622
2023-02-26,148.702,149.788,144.266,145.244,215897920
2023-03-05,146.235,149.601,142.462,149.523,276800097
2023-03-12,152.25,154.741,146.135,147.017,316510883
2023-03-19,146.329,155.174,146.225,153.452,414659910
2023-03-26,153.522,160.522,152.61,158.651,353691177
2023-04-02,158.344,163.353,154.423,163.255,270641684
2023-04-09,162.629,165.173,160.186,163.016,202174868
2023-04-16,159.809,164.66,158.185,163.56,265981861
2023-04-23,163.441,166.482,162.392,163.372,252473815
2023-04-30,163.353,168.153,161.174,167.985,258925741
2023-05-07,167.59,172.559,162.669,171.837,364361039
2023-05-14,170.759,172.847,169.526,171.084,252520257
2023-05-21,171.667,174.87,168.951,173.652,260882092
2023-05-28,172.48,174.256,169.051,173.917,252530373
2023-06-04,175.434,180.215,175.05,179.391,288977850
2023-06-11,181.058,183.357,175.793,179.401,350877018
2023-06-18,179.709,185.379,179.411,183.327,336737265
2023-06-25,182.822,185.945,181.018,185.072,205446963
2023-07-02,185.708,192.805,183.635,192.298,284043765
2023-07-09,192.111,192.21,187.57,189.038,171829716
2023-07-16,187.629,190.048,184.992,189.048,252443821
2023-07-23,190.246,196.524,189.583,190.286,313615821
2023-07-30,191.744,195.501,190.594,194.144,227975716
2023-08-06,194.371,195.037,180.354,180.423,305325254
2023-08-13,180.561,181.551,175.265,176.497,335319569
2023-08-20,176.675,178.383,170.709,173.22,263414689
2023-08-27,173.796,180.229,172.47,177.311,249328356
2023-09-03,178.78,188.537,177.246,188.082,266135882
2023-09-10,186.909,188.597,172.278,176.884,307363057
2023-09-17,178.76,178.988,172.317,173.737,406705541
2023-09-24,175.196,178.388,172.595,173.519,299574874
2023-10-01,172.933,175.683,166.401,169.965,287933975
2023-10-08,169.975,176.695,169.577,176.198,262483834
2023-10-15,175.523,181.014,174.521,177.548,243611584
2023-10-22,175.463,177.772,171.384,171.622,290491185
2023-10-29,169.665,172.745,164.464,166.996,288174835
2023-11-05,167.791,176.487,166.678,175.365,312348494
2023-11-12,175.097,185.452,174.928,185.287,305790854
2023-11-19,184.712,189.821,183.111,188.557,264459017
2023-11-26,188.756,191.779,188.121,188.836,149242136
2023-12-03,188.786,190.944,187.066,190.098,217781167
2023-12-10,188.846,194.82,186.332,194.542,253504592
2023-12-17,191.958,198.429,190.277,196.391,381692713
2023-12-24,194.92,196.501,191.818,192.444,233735790
2023-12-31,192.454,193.499,189.949,191.382,154652006
2024-01-07,186.032,187.316,179.094,180.099,276919029
