Date,Open,High,Low,Close,Volume
2020-03-15,311.68,336,283.0001,335.5,32305280
2020-03-22,288.3558,324.8,255.1314,295.34,34108173
2020-03-29,296.67,326.99,287.78,305.83,26835921
2020-04-05,308.89,326.3344,289.71,293.61,22182758
2020-04-12,306.56,328.32,299.955,318.7,17870084
2020-04-19,315.94,350.38,313.75,344.11,15777489
2020-04-26,340.79,348.5,325.21,344.1,12818404
2020-05-03,348.8,356.23,332.57,343.84,17758410
2020-05-10,340.74,371.0999,340,367.51,12084078
2020-05-17,365.84,373.63,348.01,365.3,13082500
2020-05-24,371.59,386.52,367.21,385.26,11880409
2020-05-31,391,391.27,361.44,386.6,15921178
2020-06-07,387.08,396.17,382,392.9,12298801
2020-06-14,391,411.72,385.84,406.54,20940094
2020-06-21,398.8,429.27,397,428.01,16172951
2020-06-28,428.96,446.15,424.7129,426.92,15656602
2020-07-05,427.11,448.16,416.032,442.95,10653979
2020-07-12,448,467.21,444.69,466.2,13391344
2020-07-19,469.77,470.61,416.29,432.42,16960288
2020-07-26,434.06,456.9899,423.4406,430.31,11155948
2020-08-02,431.77,444.4385,426.81,444.32,8058926
2020-08-09,449.84,464.37,440.7,449.57,12704267
2020-08-16,450.37,455.9,431.59,447.6,9101069
2020-08-23,450,479.8,449.2,473.22,11223344
2020-08-30,478.14,533.6979,469.52,516.44,19146358
2020-09-06,513.86,536.88,471.71,491.94,17290168
2020-09-13,471.8946,501.85,461.18,471.35,16508053
2020-09-20,484.99,505.5,452.52,467.55,30361771
2020-09-27,460.31,488,456.725,479.78,14594110
2020-10-04,487.97,501.5,478.64,478.99,13442373
2020-10-11,483.25,502.17,477.5,502.16,9495956
2020-10-18,508.26,519.6,491.85,502.82,12105430
2020-10-25,507.75,507.75,479.4,488.5,9270234
2020-11-01,480.8835,488.78,442.51,447.1,12165184
2020-11-08,451,502.53,438.94,494.63,13119285
2020-11-15,494.6963,499.41,446,469.34,16261119
2020-11-22,460.43,471.04,458.2501,462.92,11976754
2020-11-29,464.6334,482.405,456.17,477.03,9409636
2020-12-06,480,492.81,469.2,486,13239573
2020-12-13,487,499.29,468.82,475.91,16535896
2020-12-20,475.61,504.07,475.5,502.95,15905854
2020-12-27,498.05,506.92,491.5,499.86,6132634
2021-01-03,505.61,506.04,494.89,500.12,5941755
2021-01-10,500.3,500.79,466,485.1,14947001
2021-01-17,481.99,482.59,457.49,458.08,14162674
2021-01-24,461.17,476.35,453.34,472.44,13584239
2021-01-31,474.51,477.7,455.07,458.77,14708714
2021-02-07,462.28,495.1,459.82,492.12,11404002
2021-02-14,494.26,499.9874,489.21,498.84,8123665
2021-02-21,500.03,506.51,476.1,479.12,8484271
2021-02-28,470.48,477.35,451.5,459.67,16471528
2021-03-07,465.68,473.8016,423.7101,440.83,16479543
2021-03-14,439.76,454.07,420.78,444.3,15504059
2021-03-21,444.4,457.41,437.77,441.5,14486767
