Date,Open,High,Low,Close,Volume
2020-03-22,82.0755,97.85,81.3016,92.3045,993948100
2020-03-29,91.3875,97.8245,90.6,95.005,661153140
2020-04-05,96.1415,99.651,94.4575,95.3295,466348860
2020-04-12,96.8,102.65,96.501,102.138,390401880
2020-04-19,102,123.05,101.9,118.75,832773600
2020-04-26,119.497,122.249,113.983,120.511,527280340
2020-05-03,122.16,123.75,112.91,114.302,696278000
2020-05-10,112.819,119.362,112.819,118.98,356677500
2020-05-17,118.735,120.983,116.89,120.489,380002900
2020-05-24,120.217,126.272,119.2,121.844,413333900
2020-05-31,122.9,123.1,116.5,122.118,306951260
2020-06-07,122.4,125.377,121.857,124.15,287882280
2020-06-14,125.01,136.118,124.367,127.251,506577380
2020-06-21,126.33,134.872,125.4,133.751,373860740
2020-06-28,134.225,139.8,133.45,134.644,428730660
2020-07-05,134.501,147.778,131.504,144.515,418998680
2020-07-12,146.748,160.75,146.5,160,581008640
2020-07-19,162.553,167.214,145.912,148.098,637935840
2020-07-26,150.01,162.029,144.4,150.445,582533700
2020-08-02,153.1,162.341,149.788,158.234,489656740
2020-08-09,159.026,162.373,155.06,158.373,431514220
2020-08-16,158.516,160.876,153.65,157.401,326266520
2020-08-23,158.656,166,157.709,164.236,382613760
2020-08-30,165.508,172.65,162.878,170.09,446592320
2020-09-06,170.45,177.612,155.556,164.731,570732700
2020-09-13,157.2,167.494,154.199,155.811,434152060
2020-09-20,158.647,159.37,145.277,147.746,568479000
2020-09-27,145.325,156.7,143.55,154.757,577280000
2020-10-04,157.442,161.2,155.858,156.25,464173680
2020-10-11,157.292,164.45,154.5,164.332,425072260
2020-10-18,167.497,174.812,158,163.636,632712240
2020-10-25,164.98,166.45,156.097,160.22,440094640
2020-11-01,159.937,164.583,150.95,151.808,615462760
2020-11-08,153.087,168.34,147.506,165.568,588617720
2020-11-15,161.552,164.45,150.974,156.44,525641600
2020-11-22,154.66,159.462,153.634,154.97,331213100
2020-11-29,155.835,160.81,153.273,159.767,289885180
2020-12-06,160.424,162.448,156.278,158.129,350865040
2020-12-13,157.824,159.206,153.641,155.821,324321140
2020-12-20,157.15,163.176,156.3,160.082,427543120
2020-12-27,160.001,161.348,158.3,158.634,195286620
2021-01-03,159.7,167.532,158.634,162.846,334524720
2021-01-10,163.5,163.6,156.558,159.135,370282020
2021-01-17,157.401,159.498,154.3,155.212,356396700
2021-01-24,155.35,167.428,154.8,164.612,327638840
2021-01-31,166.425,168.194,159.228,160.31,376158700
2021-02-07,162.118,171.7,161.751,167.608,512781980
2021-02-14,167.925,168.25,161.666,163.886,264984460
2021-02-21,162.703,166.9,162.288,162.495,264312220
2021-02-28,160.406,161.616,151.835,154.646,400081720
2021-03-07,156.394,158.176,144.05,150.023,403771580
2021-03-14,150.75,156.589,147.566,154.474,328516160
2021-03-21,153.728,158.652,150.832,153.748,337166420
2021-03-28,153.392,159.1,149.8,152.602,331096320
2021-04-04,152.772,158.122,151.422,158.05,222355700
2021-04-11,158.65,168.61,158.062,168.61,327449620
2021-04-18,167.76,171.6,166.3,169.972,323249360
2021-04-25,169.516,171.797,165.072,167.044,266736900
2021-05-02,167.4,177.7,166.547,173.371,560629180
2021-05-09,174.236,174.332,162.36,164.58,483685180
2021-05-16,164.116,164.15,156.368,161.145,441533860
2021-05-23,162.296,165.6,159.2,160.154,319401960
2021-05-30,160.775,164.786,160.525,161.154,259211480
2021-06-06,162.175,162.549,159.202,160.311,181852220
2021-06-13,159.866,168.329,158.61,167.342,287636960
2021-06-20,167.342,175.35,166.775,174.345,391658100
2021-06-27,173.821,176.243,169.709,170.073,344170980
2021-07-04,170.8,175.586,170.471,175.549,239179480
2021-07-11,176.506,187.999,176.45,185.967,420033800
2021-07-18,187.2,188.654,178.523,178.682,338862360
2021-07-25,176.629,183.306,174.958,182.832,301218160
2021-08-01,183.658,185.604,165.349,166.38,510337620
2021-08-08,167.655,169.55,164.988,167.247,295327000
2021-08-15,167.18,167.9,163.484,164.698,237770840
2021-08-22,164.15,165,158.788,159.998,333240340
2021-08-29,160.595,167.616,160.5,167.482,240028160
2021-09-05,167.871,176.35,167.761,173.902,333649720
