Date,Open,High,Low,Close,Volume
2020-02-23,1503.26,1513.56,1454.95,1475.74,19893490.232867
2020-03-01,1434.35,1434.35,1232.57,1259.73,48323363.266913
2020-03-08,1300.41,1339.85,1180.84,1183.7,59496673.272926
2020-03-15,1044.03,1055.75,835.034,936.517,117718014.26132
2020-03-22,875.205,1028.73,851.919,985.905,96233061.609125
2020-03-29,933.846,1204.32,907.193,1055.22,81206798.377669
2020-04-05,1059.3,1128.43,1041.72,1102.85,50097801.113822
2020-04-12,1130.38,1187.96,1122.57,1167.51,36061584.050658
2020-04-19,1195.76,1199.5,1102.85,1169.12,35082678.651578
2020-04-26,1162.2,1170.19,1071.56,1143.71,53632736.528531
2020-05-03,1161.31,1254.07,1118.12,1146.38,40085236.63383
2020-05-10,1140.5,1241.09,1124.35,1223.14,35646542.391448
2020-05-17,1232.39,1273.44,1164.34,1255.65,47374309.200157
2020-05-24,1295.47,1396.22,1291.56,1377.22,47843087.300164
2020-05-31,1408.84,1428.57,1374.02,1404.93,32546720.212291
2020-06-07,1447.24,1530.75,1398.71,1530.04,38769518.63979
2020-06-14,1519.38,1559.9,1437.45,1481.52,49666355.427129
2020-06-21,1410.98,1489.16,1386.46,1433.37,40029008.37095
2020-06-28,1426.97,1491.84,1420.75,1456.29,24614783.376421
2020-07-05,1446.17,1493.97,1439.76,1453.98,19415000.876723
2020-07-12,1454.51,1514.58,1448.65,1479.22,26812706.330146
2020-07-19,1502.32,1602.72,1493.97,1598.81,31021772.261469
2020-07-26,1596.33,1608.23,1502.5,1519.2,23273198.270316
2020-08-02,1537.15,1570.2,1464.46,1470.51,21948463.002134
2020-08-09,1492.02,1597.57,1468.55,1567.36,30331044.570281
2020-08-16,1581.59,1648.39,1581.59,1613.56,23836816.084527
2020-08-23,1616.93,1645.9,1514.94,1531.47,25174422.585116
2020-08-30,1543.89,1573.04,1499.13,1521.88,36299172.941591
2020-09-06,1511.02,1585.65,1444.84,1471.33,31122496.224307
2020-09-13,1481.11,1557,1477.2,1549.72,23526873.394388
2020-09-20,1557.72,1619.41,1545.09,1571.4,43391484.768084
2020-09-27,1554.17,1554.35,1495.14,1513.46,48093320.587966
2020-10-04,1521.65,1526.25,1432.41,1470.62,29493986.620515
2020-10-11,1481.46,1499.42,1433.29,1481.28,31910716.033377
2020-10-18,1471.69,1484.12,1431.16,1454.44,36629437.625526
2020-10-25,1465.1,1465.27,1413.21,1429.92,22619993.893636
2020-11-01,1401.65,1424.57,1288.76,1324.5,38479255.61707
2020-11-08,1322.73,1423.33,1308.5,1408.75,27256096.816972
2020-11-15,1442.18,1513.1,1426.17,1449.29,33163495.026021
2020-11-22,1467.95,1507.59,1436.48,1462.62,29334232.63901
2020-11-29,1485.55,1588.29,1480.22,1544.56,36306514.777003
2020-12-06,1535.5,1716.29,1509.73,1715.75,34647862.997301
2020-12-13,1717.88,1772.8,1698.51,1767.84,30630734.743242
2020-12-20,1750.07,1786.5,1717.36,1753.61,36376131.951415
2020-12-27,1749.71,1768.73,1716.11,1745.97,13824027.014892
2021-01-03,1746.86,1802.05,1703.67,1710.95,8752621.0777548
2021-01-10,1749.18,1986.94,1744.02,1974.49,33658340.122876
2021-01-17,1930.93,1970.93,1871.38,1897.6,32027130.951582
2021-01-24,1886.04,1945.61,1848.73,1878.05,24960479.614686
2021-01-31,1886.04,1898.05,1761.61,1787.84,38612090.284033
2021-02-07,1811.39,1859.82,1786.5,1817.16,26200983.660423
2021-02-14,1849.17,1895.38,1840.7,1882.04,21495746.430406
2021-02-21,1926.05,2064.26,1922.93,2024.25,33103290.403523
2021-02-28,2076.26,2118.47,1990.04,2017.15,34472658.371345
2021-03-07,2059.36,2140.69,1941.1,1951.32,31264266.190194
2021-03-14,1978.44,2007.34,1880.63,1937.99,36927178.360391
2021-03-21,1931.76,1946.87,1821.95,1832.17,40712001.194854
2021-03-28,1817.5,1864.63,1771.62,1858.85,33852867.318718
2021-04-04,1854.85,1884.64,1833.06,1838.85,19147085.646372
2021-04-11,1878.86,1953.1,1877.53,1911.75,18556468.788296
2021-04-18,1902.41,2011.34,1866.4,1991.33,24018221.63051
2021-04-25,1989.55,2008.67,1916.2,1967.33,22052340.20355
2021-05-02,1972.22,2008.67,1941.54,1942.43,22488144.052255
2021-05-09,1964.66,2100.26,1947.32,2078.48,27143008.071371
2021-05-16,2134.5,2150.5,1953.99,1976.21,32810691.648521
2021-05-23,1982.89,2073.14,1861.96,1881.96,27974233.428122
2021-05-30,1873.07,1922.42,1824.18,1887.75,25448077.203779
2021-06-06,1932.2,1971.33,1905.98,1929.54,23386674.433049
2021-06-13,1941.99,1944.22,1883.74,1923.31,30701078.465148
2021-06-20,1911.31,1938.88,1787.71,1790.82,46537091.791745
2021-06-27,1780.59,1921.53,1760.59,1920.64,25551458.062086
2021-07-04,1915.76,1937.54,1877.53,1913.53,18648990.737391
2021-07-11,1933.98,2015.34,1891.75,2011.34,26413515.08495
2021-07-18,2005.12,2030.01,1958.89,1972.22,21591987.58398
2021-07-25,1950.43,2016.68,1890.41,2007.79,31191471.072341
2021-08-01,2008.23,2120.27,2003.79,2066.47,23524830.75159
2021-08-08,2082.47,2128.71,2013.12,2029.12,26536864.208366
2021-08-15,2014.9,2078.92,2004.68,2065.15,22014698.979479
2021-08-22,2046.02,2226.97,1877.08,1941.54,65816701.048425
