Date,Open,High,Low,Close,Volume
2020-02-02,135.86,138.93,134.83,138.31,56837442
2020-02-09,139.79,147.3,138.57,141.02,84457307
2020-02-16,141.03,142.99,139.13,139.54,43773945
2020-02-23,139.02,141.87,138.1,138.97,29012324
2020-03-01,132.9,134.437,113.21,117.65,137877277
2020-03-08,119.13,121.78,110.32,115.27,100444591
2020-03-15,108.69,111.58,91.64,102.52,156464438
2020-03-22,91.8,98.28,79.07,85.98,169322825
2020-03-29,84.49,107.7319,81.09,96.4,148441660
2020-04-05,96,103.16,92.1,93.88,91737503
2020-04-12,97.26,107.99,94.52,104.5,97355058
2020-04-19,104.71,107.64,99.61,106.63,87286789
2020-04-26,103.58,104.86,99.13,101.19,75367654
2020-05-03,102,112.7,101.61,105.5,84009623
2020-05-10,102.01,109.18,98.86,109.16,146647476
2020-05-17,108.4,109.44,99.6587,109.05,110459573
2020-05-24,114.47,120.87,113.42,118.02,113024715
2020-05-31,121.05,123.78,114.12,117.3,72283206
2020-06-07,117.26,127.82,116.93,124.82,64662920
2020-06-14,125.1,127.44,112.25,115.49,80678795
2020-06-21,112.08,121.5,111.71,114.35,69102718
2020-06-28,114.19,117.45,108.0221,109.1,77819453
2020-07-05,109,115.6,108.1001,112.18,45393095
2020-07-12,113.83,119.4394,112.61,119.34,64190213
2020-07-19,119.94,122.09,114.54,118.65,63418526
2020-07-26,118.05,120.39,115.53,117.61,40456269
2020-08-02,117.2,117.42,113.37,116.94,45067852
2020-08-09,116.17,131.94,115.35,129.93,123972064
2020-08-16,129.75,133,128.49,130.53,47596204
2020-08-23,130.1,130.2166,126.53,127.44,32813749
2020-08-30,128.15,136.8,127.93,135.54,46243496
2020-09-06,135.25,137.2374,129.42,131.99,51476823
2020-09-13,131.99,137.14,130.86,131.75,43167811
2020-09-20,132.53,133.62,128.1201,128.63,38926760
2020-09-27,125.98,127.47,120.78,124,40986836
2020-10-04,125.75,126.86,121.69,122.55,42757248
2020-10-11,123.26,125.5495,120.61,124.98,44065730
2020-10-18,124.9,131.36,123.73,126.81,58927508
2020-10-25,127.37,128.5,123.64,128.35,29954490
2020-11-01,127.11,127.11,117.23,121.25,44730058
2020-11-08,122.24,128.62,119.81,127.46,38728448
2020-11-15,140.26,147.68,134.105,138.36,98318715
2020-11-22,141.57,145.48,140.86,141.07,52572036
2020-11-29,142.45,151.86,141.7,147.13,44457123
2020-12-06,147.06,154.68,146.29,154.14,44236354
2020-12-13,153.18,179.45,152.2505,175.72,121912064
2020-12-20,173.8,177.3,167.8201,172.89,91039023
2020-12-27,170.09,175.95,168.19,173.73,30564144
