Date,Open,High,Low,Close,Volume
2019-08-25,59.3763,60.2511,57.2923,57.4707,112862619
2019-09-01,57.7631,59.8008,57.534,59.3115,99533855
2019-09-08,58.8791,60.4808,57.9759,60.0982,92956116
2019-09-15,60.0653,61.8967,59.443,61.7775,139124376
2019-09-22,61.2998,61.9923,60.6038,61.2699,123157122
2019-09-29,61.107,62.1756,60.2417,61.0761,146167976
2019-10-06,60.8095,61.4203,57.9469,60.3294,139508242
2019-10-13,60.1575,61.2156,59.2592,60.5659,90714820
2019-10-20,60.4753,62.9593,60.3751,61.9957,120605044
2019-10-27,62.2095,63.171,61.7685,62.9866,120112103
2019-11-03,63.5197,64.7273,62.2484,63.3828,208755623
2019-11-10,63.575,65.8937,63.575,65.2137,156549677
2019-11-17,64.9645,66.4362,64.3741,66.4362,133628284
2019-11-24,66.3763,66.455,64.2277,64.4498,132581342
2019-12-01,64.5789,65.6441,64.5465,64.9689,77407174
2019-12-08,64.8927,66.881,63.6219,66.7276,149633817
2019-12-15,66.7013,67.6324,66.459,67.1003,132012366
2019-12-22,67.5052,67.9701,67.1939,67.317,165732023
2019-12-29,67.6911,68.1065,66.9658,67.4874,80592097
2020-01-05,67.5954,68.4395,66.3658,67.8302,90558033
2020-01-12,67.3373,71.4878,67.3061,71.1899,176772281
2020-01-19,71.5033,73.7601,71.0111,73.7088,157482566
2020-01-26,73.6829,74.758,72.8948,73.0438,134312917
2020-02-02,71.3185,73.2181,70.7187,71.3803,157000344
2020-02-09,72.8185,74.0465,70.8447,73.6883,271593958
2020-02-16,73.5947,76.2176,73.4936,75.6622,150852277
2020-02-23,75.4435,76.2606,73.6575,73.9051,117355447
2020-03-01,70.8954,71.583,63.1815,66.7206,294514967
2020-03-08,67.3254,70.1552,62.6334,64.5529,279664708
2020-03-15,60.0304,63.5622,55.2233,60.4942,353960586
2020-03-22,54.2837,57.4223,51.6628,53.2176,431258706
2020-03-29,52.6277,58.3625,50.2613,55.3125,387345271
2020-04-05,56.4274,58.458,53.5598,54.4377,284799595
2020-04-12,56.4454,60.8788,56.0468,60.1105,220096628
2020-04-19,59.858,64.267,58.903,63.7191,254166307
