Date,Open,High,Low,Close,Volume
2019-01-06,86.3567,90.0368,84.8948,89.8286,69909350.093797
2019-01-13,89.5928,90.8326,88.2704,89.1272,81894524.045108
2019-01-20,88.2007,93.5835,87.9571,93.3104,108704401.22921
2019-01-27,91.9576,93.052,90.9417,92.2326,61586357.498789
2019-02-03,92.6708,93.8841,91.5164,92.6708,72946697.656563
2019-02-10,92.5863,93.33,89.2598,90.417,64399856.746527
2019-02-17,90.7796,94.2821,89.8984,94.1592,68178331.983676
2019-02-24,93.5933,94.6407,92.606,93.6778,46904712.066105
2019-03-03,94.3291,95.6928,92.718,93.163,73575670.116551
2019-03-10,93.6031,94.4805,90.9879,91.8917,62418283.402939
2019-03-17,92.7543,95.2645,92.4674,95.066,77059367.66507
2019-03-24,95.066,96.6978,88.7794,88.9936,102694971.02111
2019-03-31,88.8422,90.9879,87.5032,90.3012,86035455.262187
2019-04-07,91.1244,95.3667,91.097,94.6701,68395072.500415
2019-04-14,94.4805,100.534,93.7141,99.9735,72364643.993948
2019-04-21,99.698,103.324,98.087,101.988,63456209.241338
2019-04-28,101.418,102.999,101.142,102.901,48521674.595309
2019-05-05,103.019,105.308,102.872,104.374,58786169.977529
2019-05-12,102.636,103.795,99.3739,101.152,66054015.362348
2019-05-19,98.9418,100.828,97.6282,99.5602,59709072.238999
2019-05-26,99.4136,100.592,96.6301,98.6077,52842645.946048
2019-06-02,98.1656,98.7158,94.2339,95.2458,47783455.998328
2019-06-09,95.1121,99.6594,94.6603,98.1263,58099147.27493
2019-06-16,99.5513,100.298,97.6479,98.706,53825361.403962
2019-06-23,98.5979,100.376,97.9593,98.3916,81254959.611901
2019-06-30,98.2442,101.074,96.7853,100.484,82951898.358643
2019-07-07,101.771,103.432,101.624,102.734,41851285.308118
2019-07-14,102.262,104.424,101.516,104.374,52454607.795938
2019-07-21,104.591,104.62,102.233,102.783,69389530.126601
2019-07-28,102.223,106.153,102.096,105.21,60494320.581373
2019-08-04,105.406,106.094,100.848,102.243,61815615.802057
2019-08-11,100.298,100.464,95.907,99.364,70988950.654422
2019-08-18,98.146,99.8754,94.451,97.5113,72108665.539906
2019-08-25,99.3442,99.364,95.1417,95.9836,54060184.411977
2019-09-01,96.5239,100.072,94.9137,99.4621,58893722.375964
2019-09-08,98.647,102.95,97.1508,101.948,41840300.436413
2019-09-15,102.94,109.002,102.832,108.835,73766380.599549
2019-09-22,107.646,108.943,106.153,107.646,71876453.372878
2019-09-29,106.605,107.97,105.868,106.566,56815962.189674
2019-10-06,107.145,107.734,100.858,104.591,62196093.20096
2019-10-13,104.198,107.676,101.889,105.986,57344452.388262
2019-10-20,105.701,110.957,105.524,110.014,79468315.82963
2019-10-27,111.379,115.584,111.32,114.995,57467344.113661
2019-11-03,115.506,116.783,113.03,116.616,56004296.004429
2019-11-10,117.795,119.789,117.313,118.974,62422682.644554
2019-11-17,118.257,119.209,116.282,118.197,48796820.591892
2019-11-24,118.227,119.75,117.677,119.367,49572813.42663
2019-12-01,119.75,120.86,118.954,120.221,36035579.501207
2019-12-08,120.752,123.896,117.333,123.218,54082027.939293
2019-12-15,122.835,126.667,121.243,124.829,54182584.505331
2019-12-22,126.283,126.853,124.917,125.232,79611647.437232
2019-12-29,125.556,127.561,124.898,126.961,30360436.690792
2020-01-05,127.678,128.769,125.9,127.049,38681407.792547
2020-01-12,125.419,126.981,124.535,124.957,54666022.683296
2020-01-19,125.065,129.279,124.672,126.912,86129920.883796
2020-01-26,126.008,126.794,121.509,122.295,44138190.652301
2020-02-02,119.514,125.006,119.131,121.548,62157089.374154
2020-02-09,121.823,127.001,121.823,125.989,48674622.037141
2020-02-16,125.782,127.904,125.261,126.253,37645558.412477
2020-02-23,126.135,127.099,123.915,124.711,36220716.118613
2020-03-01,120.997,122.343,103.451,106.624,139594139.36236
2020-03-08,107.234,112.922,96.4453,99.2659,162116786.62569
2020-03-15,88.689,95.5003,79.2752,95.4236,215468558.77854
2020-03-22,78.2456,89.4868,70.6327,76.6835,193473095.78437
2020-03-29,75.9309,90.5262,71.7154,83.6933,179548918.93882
2020-04-05,83.2512,86.4834,76.1883,77.9931,128558729.30746
2020-04-12,82.5752,96.8629,81.3786,95.3479,123257109.79629
2020-04-19,95.6731,95.6731,80.7754,88.3186,178704601.46423
2020-04-26,85.8065,87.8844,81.9642,84.1737,103322123.52645
