Date,Open,High,Low,Close,Volume
2020-05-24,212.15,237.2,210.94,234.91,183881670
2020-05-31,239.77,240.9,221.1347,225.09,120621360
2020-06-07,224.59,233,223.5,230.77,88315058
2020-06-14,229.03,241.21,223.55,228.58,112449630
2020-06-21,225.09,240.83,224.8,238.79,96018823
2020-06-28,238.56,245.1853,215.4,216.08,158818879
2020-07-05,209.75,240,207.11,233.42,166474708
2020-07-12,233.76,247.65,232.27,245.07,129042895
2020-07-19,247.005,250.15,232.03,242.03,104219610
2020-07-26,240.06,246.91,226.9,230.71,95807410
2020-08-02,231.46,255.85,229,253.67,114566855
2020-08-09,252.65,278.89,247.43,268.44,171413972
2020-08-16,268.04,273.86,255.13,261.24,112082116
2020-08-23,262.5,270.49,259.26,267.01,91171211
2020-08-30,271.07,304.67,268.7701,293.66,182301718
2020-09-06,293.95,303.6,271.14,282.73,121635138
2020-09-13,271.28,279.3,262.64,266.61,91511318
2020-09-20,270.95,276.64,250.05,252.53,131192162
2020-09-27,247.54,257.9921,244.13,254.82,113001808
2020-10-04,259.4,268.33,254.8208,259.94,95561702
2020-10-11,262.2,265.69,254.82,264.45,85073151
2020-10-18,270.2,280.18,263.67,265.93,96722519
2020-10-25,265.53,285.24,259.88,284.79,95604020
2020-11-01,283.16,285.23,259.1,263.11,140399102
2020-11-08,264.6,297.38,257.34,293.41,118206569
2020-11-15,289.87,292.58,264,276.95,92456598
2020-11-22,275.05,279.41,269.19,269.7,71249664
2020-11-29,270.89,280.18,264.53,277.81,58196645
2020-12-06,276.03,291.78,271.01,279.7,78634859
2020-12-13,279.19,288.49,270.25,273.55,83346236
2020-12-20,273.3722,280.44,267.47,276.4,99312433
2020-12-27,272.978,274.67,264.63,267.4,54919810
2021-01-03,268.74,280.51,265.66,273.16,64386905
2021-01-10,274.78,275,260.01,267.57,83649826
2021-01-17,260.48,263.47,244.61,251.36,131073501
2021-01-24,256.9,278.47,252.7201,274.5,96021194
2021-01-31,278.14,286.79,254.85,258.33,141955163
2021-02-07,259.52,269.2,254.91,268.1,82972745
2021-02-14,268.75,273.7999,265,270.5,64981887
2021-02-21,270.8,276.6,260.15,261.56,69052204
2021-02-28,257.95,267.46,254.04,257.62,100768212
2021-03-07,260.82,266.71,253.5,264.28,111309010
2021-03-14,265.55,277.9,255.05,268.4,97076003
2021-03-21,269.08,292.8,268.5,290.11,118294844
2021-03-28,290.45,299.705,277.75,283.02,112083881
2021-04-04,285.77,302.4,284.7,298.66,76307505
2021-04-11,300.89,315.88,300.68,312.46,105310209
2021-04-18,311.05,314.428,301.95,306.18,69957691
2021-04-25,305.007,307.7,296.04,301.13,80148271
2021-05-02,303.3396,331.81,301.11,325.08,148248253
2021-05-09,326.17,328.55,313.12,319.08,93258608
2021-05-16,314.35,316.85,298.19,315.94,105125150
2021-05-23,313.55,319.93,303.57,316.23,79951132
2021-05-30,318.21,333.78,318.03,328.73,75084394
2021-06-06,330.15,332.455,323.48,330.35,49320352
2021-06-13,329.48,338.2999,328.545,331.26,75273262
2021-06-20,331.9,339.92,328.72,329.66,86111719
2021-06-27,331.09,344.9,327.65,341.37,68424185
2021-07-04,342.46,358.14,341.77,354.7,94342586
2021-07-11,356.5,358.79,342.56,350.42,55132472
2021-07-18,351.23,358.49,340.14,341.16,61176495
2021-07-25,337.57,375.33,334.5,369.79,80756048
2021-08-01,369.58,377.5499,352.94,356.3,109697002
2021-08-08,358.1,365.15,347.7,363.51,58939289
2021-08-15,363.7623,365.775,357.11,363.18,38040012
2021-08-22,362.52,366.95,351,359.37,54305589
2021-08-29,359.44,373.74,359.1,372.63,48969499
2021-09-05,372.56,384.33,370.52,376.26,59809404
2021-09-12,375.88,383.79,373.15,378.69,42514622
2021-09-19,381.68,381.75,361.59,364.72,77911324
2021-09-26,359.3,361.03,340.6901,352.96,115875745
2021-10-03,349.805,355.15,338.15,343.01,82820775
2021-10-10,335.53,338.84,322.7,330.05,148959498
2021-10-17,327.625,330.52,317.37,324.76,97026902
2021-10-24,328.95,343.98,321.11,324.61,105589765
2021-10-31,320.3,330.2099,308.11,323.57,221900985
2021-11-07,326.04,346.79,323.2,341.13,130026451
2021-11-14,344.42,344.789,325.51,340.89,95562658
2021-11-21,344.34,353.65,335.3,345.3,100836297
2021-11-28,349.05,353.83,331.902,333.12,72658715
2021-12-05,336.89,340.67,299.5,306.84,124292219
2021-12-12,307.99,336.13,306.34,329.75,91897246
2021-12-19,330.95,344.46,323.98,333.79,130738667
2021-12-26,329.775,336.67,322.53,335.24,64770831
2022-01-02,338.845,352.71,336.27,336.35,68643470
2022-01-09,338.295,343.0854,322.72,331.79,93810173
2022-01-16,325.31,336.365,315.43,331.9,86939694
2022-01-23,323.29,327.82,303.04,303.17,89127819
2022-01-30,297.84,309.53,289.01,301.71,135895698
2022-02-06,300.68,328,230.11,237.09,375523722
2022-02-13,237.7,238.3,216.15,219.55,365374072
2022-02-20,219.31,221.15,205.18,206.16,202562936
2022-02-27,202.34,211.32,190.22,210.48,171918468
2022-03-06,207.675,213.1508,198.79,200.06,150196640
2022-03-13,200.79,200.89,186.11,187.61,167510962
2022-03-20,187.03,216.8,185.82,216.49,185000071
2022-03-27,214.5,225.5,207.63,221.82,157399798
2022-04-03,222.13,231.151,219.54,224.85,126967068
2022-04-10,225.98,236.86,218.56,222.33,126235985
2022-04-17,218.42,222.03,210,210.18,78256684
2022-04-24,210,218.4299,183.27,184.11,166088038
2022-05-01,182.73,212.48,169,200.47,282175365
2022-05-08,201.165,224.3,200.99,203.77,208723787
2022-05-15,199.84,202.96,184.78,198.62,164721144
2022-05-22,197.05,205.46,187.87,193.54,131857798
2022-05-29,195.19,196.9924,176.11,195.13,149114810
2022-06-05,194.885,200.935,185,190.78,114171173
2022-06-12,193.99,202.03,175.02,175.57,122649937
2022-06-19,170.59,172.575,159.61,163.74,147320187
2022-06-26,165.93,170.25,154.25,170.16,207556926
2022-07-03,171.32,171.75,155,160.03,152233058
2022-07-10,158.14,172.72,157.02,170.88,95083331
2022-07-17,167.065,167.49,157.2801,164.7,102207905
2022-07-24,166.75,183.85,165.64,169.27,144072021
2022-07-31,169,170.87,154.85,159.1,213761028
2022-08-07,157.25,172.15,155.2301,167.11,149459658
2022-08-14,168,183.1,166.6,180.5,121569409
2022-08-21,178.96,181.44,167.05,167.96,102238764
2022-08-28,165.49,170.92,159.77,161.78,98077116
2022-09-04,160.655,167.93,155.91,160.32,133353458
2022-09-11,160.1,169.54,156.81,169.15,80831550
2022-09-18,167.39,171.39,144.2935,146.29,185457833
2022-09-25,145.235,149.6,138.89,140.41,149854647
2022-10-02,140.12,142.24,134.1201,135.68,166133777
2022-10-09,137.14,142.3901,132.44,133.45,159818969
2022-10-16,133.55,136.11,122.5301,126.76,154995752
2022-10-23,130.3,137.8399,125.44,130.01,158453194
2022-10-30,127.25,138.35,96.38,99.2,519536222
2022-11-06,98.22,99.32,88.09,90.79,419674192
2022-11-13,94.78,114.9,93.1,113.02,382385602
2022-11-20,110.99,118.74,109.8,112.05,205804775
2022-11-27,111.52,112.73,108.3216,111.41,86730686
2022-12-04,110.78,124.04,108.38,123.49,167082449
2022-12-11,121.75,124.67,112.88,115.9,165277975
2022-12-18,115.18,124.14,113.14,119.43,207965126
2022-12-25,116.83,120.34,112.46,118.04,120319921
2023-01-01,117.93,121.03,115.51,120.34,82954801
2023-01-08,122.82,130.33,122.28,130.02,120957222
2023-01-15,131.16,137.6781,127.15,136.98,133938193
2023-01-22,136.176,139.94,132.14,139.37,98676935
2023-01-29,139.29,153.19,138.66,151.74,137316253
2023-02-05,149.405,197.16,146.95,186.53,340828614
2023-02-12,186.53,193.7799,173.35,174.15,196255925
2023-02-19,178.215,181.5064,169.7,172.88,130834553
2023-02-26,174.31,178.17,167.66,170.39,96834853
2023-03-05,171.875,186.62,169.06,185.25,159564899
2023-03-12,188,190.36,178.8,179.51,141591076
2023-03-19,177.96,205.76,174.82,195.61,209454905
2023-03-26,198.48,207.88,193.64,206.01,140613737
2023-04-02,204.81,212.17,197.9,211.94,104554192
2023-04-09,208.84,216.94,208.2,216.1,84452021
2023-04-16,214.71,222.11,210.66,221.49,96689911
2023-04-23,219.79,220.979,209.58,212.89,77853545
