Date,Open,High,Low,Close,Volume
2020-03-15,144.84,155.282,132.913,152.341,394361945.07366
2020-03-22,134.28,144.018,129.496,131.732,439316638.08941
2020-03-29,131.4,150.233,127.103,143.579,374171176.92491
2020-04-05,146.198,158.027,143.883,147.537,302567036.32397
2020-04-12,153.738,163.038,151.129,158.367,239423637.03965
2020-04-19,157.625,172.636,155.663,171.289,249156661.70045
2020-04-26,169.415,171.437,159.315,167.424,202920932.71994
2020-05-03,169.376,173.029,162.463,167.444,221166094.36391
2020-05-10,167.365,177.445,166.689,177.141,165342801.72092
2020-05-17,175.647,179.836,168.486,175.657,204490707.90123
2020-05-24,178.157,179.525,175.549,176.496,149190107.13935
2020-05-31,179.203,179.357,169.854,176.242,157594251.79369
2020-06-07,175.549,180.55,174.425,180.042,155369784.89282
2020-06-14,178.821,190.933,177.396,180.559,211169263.52776
2020-06-21,177.522,191.654,176.986,187.679,175216266.57627
2020-06-28,188.307,196.138,187.417,188.831,190229356.44352
2020-07-05,188.297,200.066,186.155,198.375,127253853.08263
2020-07-12,200.836,208.122,200.036,205.486,164694087.05116
2020-07-19,206.266,207.556,193.696,195.132,176219792.56097
2020-07-26,197.163,205.749,189.967,193.606,241097687.06639
2020-08-02,193.775,197.262,191.382,197.173,155310047.15673
2020-08-09,203.445,209.324,202.263,204.363,226248614.89977
2020-08-16,203.591,203.794,195.385,200.905,147386807.24943
2020-08-23,201.569,208.485,200.914,205.368,137413613.30081
2020-08-30,207.078,222.854,204.811,220.703,178405577.56795
2020-09-06,218.856,224.504,197.818,206.551,214409147.03626
2020-09-13,199.097,207.126,194.018,196.696,173930022.44905
2020-09-20,196.9,203.092,189.204,193.198,174058486.01995
2020-09-27,190.122,201.52,189.33,200.357,170937995.05436
2020-10-04,203.317,206.295,198.159,198.794,156220951.39312
2020-10-11,199.791,208.122,197.466,208.075,126492588.04606
2020-10-18,210.927,217.108,208.249,211.776,146930547.8507
2020-10-25,212.487,214.325,204.097,208.466,118593527.64985
2020-11-01,206.159,208.563,192.446,195.211,200623734.80801
2020-11-08,196.948,216.298,192.935,215.701,168010576.72208
2020-11-15,216.377,219.932,202.186,208.727,164016441.3307
2020-11-22,207.156,209.932,202.928,203.376,129569965.00939
2020-11-29,203.924,209.051,201.199,208.055,98475641.013417
2020-12-06,206.95,210.076,203.804,207.205,142256324.9328
2020-12-13,207.215,209.664,202.126,206.131,142494221.34454
2020-12-20,205.866,213.514,205.152,211.286,193158436.43251
2020-12-27,210.292,218.094,210.038,215.322,92151688.86676
2021-01-03,216.943,219.609,212.353,215,79194849.521894
2021-01-10,215.107,215.567,204.871,212.294,152629489.78711
2021-01-17,211.171,211.6,204.96,205.545,131879065.83007
2021-01-24,206.608,222.382,205.525,218.407,133641544.04635
2021-01-31,221.456,234.533,216.719,224.23,252226422.48124
2021-02-07,227.207,236.916,224.677,234.104,134220003.29711
2021-02-14,235.032,237.699,232.775,236.821,103738719.03064
2021-02-21,236.831,237.905,232.697,233.46,93566435.469973
