Date,Open,High,Low,Close,Volume
2020-03-01,364.76,391.562,356.8,369.03,44525058
2020-03-08,373.11,393.52,356.85,368.97,37744004
2020-03-15,343.86,364.54,307.32,336.295,42598472
2020-03-22,306.63,350.49,290.25,332.83,54637303
2020-03-29,347.89,372.93,339.17,357.12,49039023
2020-04-05,363,383.01,357.51,361.76,34114127
2020-04-12,365.22,381.33,361.71,370.72,29850534
2020-04-19,371.31,449.52,367.7003,422.96,65580051
2020-04-26,435.17,447,413,424.99,79579833
2020-05-03,425,429,393.6,415.27,42325683
2020-05-10,417.78,442,414.87,435.55,31450677
2020-05-17,436.33,455,427.27,454.19,33350276
2020-05-24,451.16,458.97,427.18,429.32,32737712
2020-05-31,427.77,428.5,397.86,419.73,29258098
2020-06-07,418.83,428.71,404.25,419.6,22069508
2020-06-14,416,445.57,406.5,418.07,31469340
2020-06-21,421.4,453.97,415.4238,453.72,26726361
2020-06-28,455.01,474.01,442.24,443.4,27985971
2020-07-05,445.23,492.28,432.14,476.89,25099878
2020-07-12,480.77,555.8799,479.8,548.73,46646670
2020-07-19,567.98,575.37,484.14,492.99,93039318
2020-07-26,489.14,506.22,467.54,480.45,43489883
2020-08-02,484.51,497.7927,477.5101,488.88,32994444
2020-08-09,490.86,510.82,486.68,494.73,25433893
2020-08-16,493.35,497.4584,466.55,482.68,23414074
2020-08-23,484.19,498.94,479.1,492.31,18139054
2020-08-30,495.4383,549.04,483.16,523.89,44344014
2020-09-06,521.16,557.3895,485.98,516.05,37751453
2020-09-13,498.4,522,476.81,482.03,23696192
2020-09-20,480.62,504.66,458.6,469.96,29194542
2020-09-27,467.6923,491.82,466.32,482.88,20162923
2020-10-04,489.1094,529.55,477.88,503.06,27175676
2020-10-11,506.8,544.28,501.6997,539.44,26443533
2020-10-18,548.81,572.49,530.03,530.79,31964142
2020-10-25,537.07,541.8,481.35,488.28,46946173
2020-11-01,487.025,513.8999,472.21,475.74,34740579
