Date,Open,High,Low,Close,Volume
2020-03-01,12.5703,12.8649,11.6569,12.2168,50522745.943286
2020-03-08,12.4918,12.7571,12.2091,12.3974,38093646.462377
2020-03-15,11.4292,12.0105,10.1153,11.0618,50544107.39168
2020-03-22,10.2135,11.4115,10.0051,10.4216,54905161.832955
2020-03-29,10.5945,11.9381,10.1312,11.6859,43293209.630491
2020-04-05,11.808,11.9183,11.1589,11.3235,26191339.97057
2020-04-12,11.7862,12.3911,11.6819,12.1312,24345055.105977
2020-04-19,12.0168,12.6946,11.7234,12.6946,58095825.795324
2020-04-26,12.5273,12.6926,12.0977,12.403,38690349.646224
2020-05-03,12.5114,12.7753,12.2454,12.3576,26058596.34899
2020-05-10,12.2729,12.9803,12.0862,12.9054,22830889.062652
2020-05-17,12.9565,13.0808,12.2719,12.61,36407519.498472
2020-05-24,12.4109,12.6974,12.2484,12.4579,42160876.324699
2020-05-31,12.3695,12.8699,12.2176,12.7577,29155749.120854
2020-06-07,12.787,13.3072,12.7182,13.2599,40658180.395577
2020-06-14,13.2973,13.9079,13.1734,13.4529,47657714.185271
2020-06-21,13.4668,14.1542,13.3742,13.9827,32896110.992551
2020-06-28,14.0362,14.2507,13.6324,13.7269,20700282.563328
2020-07-05,13.5416,13.9769,13.4252,13.8352,22059047.222099
2020-07-12,13.8923,14.5997,13.5888,14.566,27698747.019597
2020-07-19,14.8732,15.3421,14.4065,14.9876,33427599.969483
2020-07-26,15.2041,15.4644,14.8419,15.0626,15910037.028212
2020-08-02,15.3007,15.5154,15.1512,15.358,18571966.051623
2020-08-09,15.5037,16.5764,15.4979,15.7656,36962770.879981
2020-08-16,15.8485,16.471,15.6062,16.3369,31127680.663015
2020-08-23,16.4553,16.5281,15.4051,15.5134,30213218.998767
2020-08-30,15.742,15.9981,15.5233,15.6397,22480369.636014
2020-09-06,15.494,15.7812,14.8939,15.2987,25582465.552962
2020-09-13,15.1115,15.356,14.9462,15.173,20086828.170479
2020-09-20,15.2339,15.7933,15.0176,15.555,33138395.717975
2020-09-27,15.3165,15.5786,15.0487,15.22,19388689.631919
