Date,Open,High,Low,Close,Volume
2019-05-05,2940.58,2954.13,2900.5,2945.64,9889427778
2019-05-12,2908.89,2937.32,2825.39,2881.4,9779350000
2019-05-19,2840.19,2892.15,2801.43,2859.53,9410394445
2019-05-26,2841.94,2868.88,2805.49,2826.06,9155250001
2019-06-02,2830.03,2840.51,2750.52,2752.06,8375705555
2019-06-09,2751.53,2884.97,2728.81,2873.34,9955405556
2019-06-16,2885.83,2910.61,2874.68,2886.98,8768833333
2019-06-23,2889.75,2964.15,2887.3,2950.46,10245394445
2019-06-30,2951.42,2954.92,2912.99,2941.76,10408916667
2019-07-07,2971.41,2995.84,2952.22,2990.41,6176688890
2019-07-14,2979.77,3013.92,2963.44,3013.77,8453655557
2019-07-21,3017.8,3017.8,2973.09,2976.61,8835644445
2019-07-28,2981.93,3027.98,2976.65,3025.86,9249566666
2019-08-04,3024.47,3025.61,2914.11,2932.05,11165794444
2019-08-11,2898.07,2938.72,2822.12,2918.65,11453738890
2019-08-18,2907.07,2943.31,2825.51,2888.68,10307727778
2019-08-25,2913.48,2939.08,2834.97,2847.11,8954749999
2019-09-01,2866.7,2940.43,2853.05,2926.46,8707383334
2019-09-08,2909.01,2985.86,2891.85,2978.71,7605016667
2019-09-15,2988.43,3020.74,2957.01,3007.39,10907294445
2019-09-22,2996.41,3021.99,2978.57,2992.07,11515583333
2019-09-29,2983.5,3007.98,2945.53,2961.79,9274727779
2019-10-06,2967.07,2992.53,2855.94,2952.01,9562577778
2019-10-13,2944.23,2993.28,2892.66,2970.27,8789511110
2019-10-20,2965.81,3008.29,2962.94,2986.2,8611433334
2019-10-27,2996.48,3027.39,2991.21,3022.55,9584083334
2019-11-03,3032.12,3066.95,3023.19,3066.91,10531483333
2019-11-10,3078.96,3097.77,3065.89,3093.08,11519422222
2019-11-17,3080.33,3120.46,3075.82,3120.46,9234744445
2019-11-24,3117.91,3127.64,3091.41,3110.29,10004994445
2019-12-01,3117.44,3154.26,3117.44,3140.98,7157350000
2019-12-08,3143.85,3150.6,3070.33,3145.91,9695772222
2019-12-15,3141.86,3182.68,3126.09,3168.8,9816600000
2019-12-22,3183.63,3225.65,3183.63,3221.22,12265627778
2019-12-29,3226.05,3247.93,3220.51,3240.02,4970277778
2020-01-05,3240.09,3258.14,3212.03,3234.85,7125911111
2020-01-12,3217.55,3282.99,3214.64,3265.35,9814833333
2020-01-19,3271.13,3329.88,3268.43,3329.62,10039777777
2020-01-26,3321.03,3337.77,3281.53,3295.47,8442877778
2020-02-02,3247.16,3293.47,3214.68,3225.52,10694111111
2020-02-09,3235.66,3347.96,3235.66,3327.71,10816655555
2020-02-16,3318.28,3385.09,3317.77,3380.16,10018644444
2020-02-23,3369.04,3393.52,3328.45,3337.75,8474144444
2020-03-01,3257.61,3259.81,2855.84,2954.22,17519594443
2020-03-08,2974.28,3136.72,2901.54,2972.37,16608616667
2020-03-15,2863.89,2882.59,2478.86,2711.02,22511761111
2020-03-22,2508.59,2562.98,2280.52,2304.92,23270677778
2020-03-29,2290.71,2637.01,2191.86,2541.47,20657049999
2020-04-05,2558.98,2641.39,2447.49,2488.65,17113661111
2020-04-12,2578.28,2818.57,2574.57,2789.82,15093938889
2020-04-19,2782.46,2879.22,2721.17,2874.56,15009572222
2020-04-26,2845.62,2868.98,2727.1,2836.74,14709250001
2020-05-03,2854.65,2954.86,2821.61,2830.71,15979755556
2020-05-10,2815.01,2932.16,2797.85,2929.8,13742472222
2020-05-17,2915.46,2945.82,2766.64,2863.7,15430224018
2020-05-24,2913.86,2980.29,2913.86,2955.45,14297936466
2020-05-31,3004.08,3068.67,2969.75,3044.31,14512049994
2020-06-07,3038.78,3211.72,3031.54,3193.93,16972127949
2020-06-14,3199.92,3233.13,2984.47,3041.31,17954539492
2020-06-21,2993.76,3155.53,2965.66,3097.74,16386318944
2020-06-28,3094.42,3154.9,3004.63,3009.05,15657090625
2020-07-05,3018.59,3165.81,2999.74,3130.01,10454904934
2020-07-12,3155.29,3186.82,3115.7,3185.04,12071322183
2020-07-19,3205.08,3238.28,3127.66,3224.73,12616151150
2020-07-26,3224.29,3279.99,3200.05,3215.63,12262296276
2020-08-02,3219.84,3272.17,3204.13,3271.12,12570830274
2020-08-09,3288.26,3352.54,3284.53,3351.28,11928518367
2020-08-16,3356.04,3387.89,3326.44,3372.85,11390781295
2020-08-23,3380.86,3399.96,3354.69,3397.16,9597645122
2020-08-30,3418.09,3509.23,3413.13,3508.01,10714601440
2020-09-06,3509.73,3588.11,3349.63,3426.96,13615371072
2020-09-13,3371.88,3425.55,3310.47,3340.97,10513993308
2020-09-20,3363.56,3428.92,3292.4,3319.47,14527868509
2020-09-27,3285.57,3323.35,3209.45,3298.46,12481601818
2020-10-04,3333.9,3397.18,3323.69,3348.42,11496737315
2020-10-11,3367.27,3482.34,3354.54,3477.14,10979771248
2020-10-18,3500.02,3549.85,3440.89,3483.81,10993185155
2020-10-25,3493.66,3502.42,3415.34,3465.39,10925607134
2020-11-01,3441.42,3441.42,3233.94,3269.96,13735310174
2020-11-08,3296.2,3529.05,3279.74,3509.44,12482232103
2020-11-15,3583.04,3645.99,3511.91,3585.15,15723784467
2020-11-22,3600.16,3628.51,3543.84,3557.54,12334897832
2020-11-29,3566.82,3644.31,3552.77,3638.35,9198706720
2020-12-06,3634.18,3699.2,3594.39,3699.12,13899252600
2020-12-13,3694.73,3712.39,3633.4,3663.46,12082861427
2020-12-20,3675.27,3726.7,3645.84,3709.41,13777511978
2020-12-27,3684.28,3711.24,3636.48,3703.06,7478126977
2021-01-03,3723.03,3760.2,3723.03,3756.07,6519144553
2021-01-10,3764.61,3826.69,3662.71,3824.68,13264440444
2021-01-17,3803.14,3823.6,3749.62,3768.25,12763525640
2021-01-24,3781.88,3861.45,3780.37,3841.47,9717360925
2021-01-31,3851.68,3870.9,3694.12,3714.24,15744438468
2021-02-07,3731.17,3894.56,3725.62,3886.83,11666627027
2021-02-14,3892.59,3937.23,3884.94,3934.83,10476459994
2021-02-21,3939.61,3950.43,3885.03,3906.71,8808774120
2021-02-28,3885.55,3928.65,3789.54,3811.15,14541966461
2021-03-07,3842.51,3914.5,3723.34,3841.94,14214607961
2021-03-14,3844.39,3960.27,3819.25,3943.34,13294335787
2021-03-21,3942.96,3983.87,3886.75,3913.1,14558013095
2021-03-28,3916.48,3978.19,3853.5,3974.54,12312142691
2021-04-04,3969.31,4020.63,3943.25,4019.87,9151288061
2021-04-11,4034.44,4129.48,4034.44,4128.8,10244264554
2021-04-18,4124.71,4191.31,4114.82,4185.47,10412553021
2021-04-25,4179.8,4194.17,4118.38,4180.17,10819357405
2021-05-02,4185.03,4218.78,4174.85,4181.17,11049045695
2021-05-09,4191.98,4238.04,4128.59,4232.6,10791276447
2021-05-16,4228.29,4236.39,4056.88,4173.85,11227771796
2021-05-23,4169.92,4188.72,4061.41,4155.86,11373973028
2021-05-30,4170.16,4218.36,4170.16,4204.11,11419594202
2021-06-06,4216.52,4234.12,4167.93,4229.89,8192958225
2021-06-13,4229.34,4249.74,4208.41,4247.44,9275974438
2021-06-20,4248.31,4257.16,4164.4,4166.45,12089327636
2021-06-27,4173.4,4286.12,4173.4,4280.7,10222113382
2021-07-04,4284.9,4355.43,4274.67,4352.34,9112005424
2021-07-11,4356.46,4371.6,4289.37,4369.55,7864260839
2021-07-18,4372.41,4393.68,4322.53,4327.16,9521913705
2021-07-25,4296.4,4415.18,4233.13,4411.79,10967923973
2021-08-01,4409.58,4429.97,4372.51,4395.26,10281933075
2021-08-08,4406.86,4440.82,4373,4436.52,10288670229
2021-08-15,4437.77,4468.37,4424.74,4468,8665713326
2021-08-22,4461.65,4480.26,4367.73,4441.67,9647328334
2021-08-29,4450.29,4513.33,4450.29,4509.37,8683839600
2021-09-05,4513.76,4545.85,4513.76,4535.43,8993696807
2021-09-12,4535.38,4535.38,4457.66,4458.58,7287187387
2021-09-19,4474.81,4492.99,4427.76,4432.99,11826183398
2021-09-26,4402.95,4465.4,4305.91,4455.48,10215282188
2021-10-03,4442.12,4457.3,4288.52,4357.04,10851663901
2021-10-10,4348.84,4429.97,4278.94,4391.34,10068104385
2021-10-17,4385.44,4475.82,4329.92,4471.37,9554123405
2021-10-24,4463.72,4559.67,4447.47,4544.9,9139611293
2021-10-31,4553.69,4608.08,4537.36,4605.38,10654978365
2021-11-07,4610.62,4718.5,4595.06,4697.53,11464987192
2021-11-14,4701.48,4714.92,4630.86,4682.85,10052831605
2021-11-21,4689.3,4717.75,4672.78,4697.96,10546779041
2021-11-28,4712,4743.83,4585.43,4594.62,8678309561
2021-12-05,4628.75,4672.95,4495.12,4538.43,15140894794
2021-12-12,4548.37,4713.57,4540.51,4712.02,11396881145
2021-12-19,4710.3,4731.99,4600.22,4620.64,14803653862
2021-12-26,4587.9,4740.74,4531.1,4725.79,8258169963
2022-01-02,4733.99,4808.93,4733.99,4766.18,6994306913
2022-01-09,4778.14,4818.62,4662.74,4677.03,12696765460
2022-01-16,4655.34,4748.83,4582.24,4662.85,11944595282
2022-01-23,4632.24,4632.24,4395.34,4397.94,11001950764
2022-01-30,4356.32,4453.23,4222.62,4431.85,16193550426
2022-02-06,4431.79,4595.31,4414.02,4500.53,13960850780
2022-02-13,4505.75,4590.03,4401.41,4418.64,12956449569
2022-02-20,4412.61,4489.55,4327.22,4348.87,12080422446
2022-02-27,4332.74,4385.34,4114.65,4384.65,11481930860
2022-03-06,4354.17,4416.78,4279.54,4328.87,14840403699
2022-03-13,4327.01,4327.01,4157.87,4204.31,15082929452
2022-03-20,4202.75,4465.4,4161.72,4463.12,14937235750
2022-03-27,4462.4,4546.03,4424.3,4543.06,11076156148
2022-04-03,4541.09,4637.3,4507.57,4545.86,11515598103
2022-04-10,4547.97,4593.45,4450.04,4488.28,12265282327
2022-04-17,4462.64,4471,4381.34,4392.59,9042557941
2022-04-24,4385.63,4512.94,4267.62,4271.78,11828049312
2022-05-01,4255.34,4308.45,4124.28,4131.93,13747489476
2022-05-08,4130.61,4307.66,4062.51,4123.34,13728613852
2022-05-15,4081.27,4081.27,3858.87,4023.89,14438517833
2022-05-22,4013.02,4090.72,3810.32,3901.36,13175833883
2022-05-29,3919.42,4158.49,3875.13,4158.24,11742592605
2022-06-05,4151.09,4177.51,4073.85,4108.54,9928345518
2022-06-12,4134.72,4168.78,3900.16,3900.86,10283839698
2022-06-19,3838.15,3838.15,3636.87,3674.84,16216330110
2022-06-26,3715.31,3913.65,3715.31,3911.74,11145089223
2022-07-03,3920.76,3945.86,3738.67,3825.33,11364522572
