Date,Open,High,Low,Close,Volume
2020-03-01,39.0664,39.2476,35.3058,36.8616,20316130.540452
2020-03-08,36.9711,38.5094,35.7941,36.1535,20345882.278768
2020-03-15,31.3594,31.8455,24.3003,26.6765,46654307.73921
2020-03-22,22.7445,23.8556,18.9094,21.7215,38363879.169827
2020-03-29,25.2757,31.4019,24.0697,30.6027,35458969.444938
2020-04-05,31.68,35.7486,30.628,31.0106,25026891.604206
2020-04-12,31.5502,32.9586,31.0027,31.9405,16460910.798183
2020-04-19,32.2099,32.4627,27.7585,30.003,20739024.129348
2020-04-26,28.4561,31.2449,27.7848,29.6883,19539641.24244
2020-05-03,29.6456,32.6022,28.1673,29.0635,18227961.311675
2020-05-10,28.8814,31.6624,28.5423,31.6624,34967768.978264
2020-05-17,30.7335,30.812,27.8293,28.7156,12337232.741958
2020-05-24,31.15,32.08,30.7151,31.3147,14360776.25249
2020-05-31,31.9231,33.1417,31.6674,32.6709,13287991.807121
2020-06-07,33.0275,37.8623,32.9403,37.4525,22459436.643278
2020-06-14,38.2702,38.488,33.289,34.4186,12549255.556322
2020-06-21,33.41,35.732,33.2443,34.2363,12510452.66636
2020-06-28,34.559,35.611,33.5776,34.249,9868282.3480238
2020-07-05,34.3032,34.9561,33.4014,34.4437,6314874.3309383
2020-07-12,35.1238,35.4327,32.7737,33.3829,10924032.914139
2020-07-19,33.8789,34.9832,33.2599,34.0116,8563509.4947739
2020-07-26,33.7182,34.4176,33.0837,33.8071,10259964.535234
2020-08-02,33.9128,34.1085,32.5605,33.286,15231127.89248
2020-08-09,33.4624,35.7301,33.3393,34.4176,9062254.9965029
2020-08-16,34.6297,36.1835,34.4253,34.9029,7880490.2671127
2020-08-23,35.0356,35.1218,33.5069,33.8876,17933264.155051
2020-08-30,35.053,35.3369,34.5058,35.3184,12330166.691204
2020-09-06,35.424,35.424,33.9922,34.5851,19827679.072049
2020-09-13,33.8953,34.7536,33.3122,34.0204,13810470.774574
2020-09-20,33.7811,34.03,32.2525,32.3658,19449176.17921
2020-09-27,31.3941,31.7293,29.0838,29.4442,13109061.233665
2020-10-04,30.1823,31.4426,29.3086,30.0117,24298681.652827
2020-10-11,30.5601,32.0558,30.287,31.74,21457575.940355
2020-10-18,31.7303,31.7303,29.4712,29.7144,12516298.545896
2020-10-25,29.8674,30.2094,28.8861,29.5972,14717168.445388
2020-11-01,29.1555,29.2456,25.7979,27.311,22021048.325117
2020-11-08,28.2362,29.8161,27.8593,29.2368,16510944.011906
2020-11-15,33.8653,35.2604,33.2522,34.9367,19164054.579459
2020-11-22,36.8462,37.4399,36.1118,37.2056,14816342.97103
