Date,Open,High,Low,Close,Volume
2020-03-29,186.402,237.999,173.19,223.697,45478312
2020-04-05,223.877,234.856,208.55,211.741,26684705
2020-04-12,221.446,249.483,216.925,243.699,24565901
2020-04-19,241.799,280.5,238.207,268.077,31628913
2020-04-26,263.224,269.32,252.103,268.74,21026142
2020-05-03,270.529,275.183,257.982,262.504,24912651
2020-05-10,262.484,274.64,260.29,264.81,15539511
2020-05-17,263.461,276.787,254.241,268.45,33671612
2020-05-24,275.402,276.529,262.76,267.537,18213906
2020-05-31,273.568,285.715,268.304,281.248,22574987
2020-06-07,280.519,289.968,271.516,287.726,21612091
2020-06-14,284.763,291.432,257.137,263.091,24981377
2020-06-21,256.518,274.754,252.538,269.871,20978982
2020-06-28,268.523,277.317,264.63,265.817,19158962
2020-07-05,267.3,280.851,265.589,276.377,10323121
2020-07-12,280.784,281.267,266.018,269.862,12854723
2020-07-19,270.661,288.155,270.366,284.023,22097884
2020-07-26,284.26,285.972,277.272,278.714,12341893
2020-08-02,276.529,287.015,275.411,280.575,14147830
2020-08-09,281.296,295.591,277.253,293.778,16344448
2020-08-16,293.748,300.748,291.573,299.941,13431076
2020-08-23,297.855,300.037,287.328,291.101,13051369
2020-08-30,293.578,293.654,281.316,291.318,14229751
2020-09-06,291.773,300.056,284.119,289.095,17751413
2020-09-13,288.212,292.164,276.604,280.519,11099709
2020-09-20,281.925,290.53,281.09,286.588,13856040
2020-09-27,279.568,282.171,269.495,281.45,17543702
2020-10-04,285.077,295.307,279.771,290.282,13907508
2020-10-11,293.162,305.336,291.357,305.033,11559260
2020-10-18,306.237,310.483,294.329,306.949,17260018
2020-10-25,305.686,312.306,299.667,307.595,11887154
2020-11-01,303.616,304.954,278.751,283.91,16093795
2020-11-08,290.901,335.867,285.989,323.286,28684662
2020-11-15,340.835,342.355,323.95,330.93,16946390
2020-11-22,333.979,334.577,308.641,311.424,16883042
2020-11-29,312.212,316.341,306.257,314.442,11824546
2020-12-06,311.812,329.468,307.31,326.715,20808083
2020-12-13,325.639,326.725,312.193,314.756,15034992
2020-12-20,317.519,320.504,311.897,315.971,20058220
2020-12-27,310.074,319.029,307.587,318.222,9286605
2021-01-03,320.494,328.033,320.35,327.453,9016299
2021-01-10,328.184,343.153,312.912,339.324,21675577
2021-01-17,338.603,340.171,322.849,328.043,14713475
2021-01-24,332.609,337.001,322.932,324.539,13636500
2021-01-31,324.158,328.243,307.225,311.5,17578377
2021-02-07,312.847,321.823,302.069,303.028,22929591
2021-02-14,305.354,314.358,300.405,306.504,19828294
2021-02-21,305.686,307.995,300.901,303.093,12503596
2021-02-28,300.206,315.534,299.152,310.217,18724606
2021-03-07,312.221,325.231,310.636,324.11,20735294
2021-03-14,324.025,337.341,322.715,333.628,16397231
2021-03-21,334.481,347.16,329.439,342.592,21092070
2021-03-28,342.042,353.343,337.473,352.802,17067795
2021-04-04,352.698,356.562,342.754,343.989,12955598
2021-04-11,346.372,352.926,337.874,352.642,13314773
2021-04-18,350.922,369.147,350.514,366.422,18713071
2021-04-25,365.473,376.709,364.047,375.13,14693514
2021-05-02,374.666,376.868,367.619,373.717,10257063
2021-05-09,375.785,392.672,375.342,391.381,13619332
2021-05-16,392.909,399.205,378.881,384.019,13993208
2021-05-23,383.564,392.302,378.825,385.748,14367326
2021-05-30,386.443,389.338,383.182,386.015,11186898
2021-06-06,387.703,387.703,377.504,380.134,10356153
2021-06-13,381.362,381.599,369.957,372.87,16496591
2021-06-20,372.32,377.798,364.237,366.223,19085544
2021-06-27,366.223,385.607,366.078,380.868,32942961
2021-07-04,380.868,385.502,373.202,385.016,14022510
2021-07-11,384.373,388.673,380.988,387.602,9565982
2021-07-18,386.583,397.4,382.994,394.743,16439748
2021-07-25,392.435,394.58,382.623,392.871,12435426
2021-08-01,392.045,392.841,382.614,387.703,11453223
2021-08-08,388.979,398.473,383.632,390.439,12590068
2021-08-15,390.278,391.474,380.268,385.312,8476216
2021-08-22,385.474,405.712,383.119,404.163,14119078
2021-08-29,404.961,404.961,391.372,393.858,9507036
2021-09-05,393.858,399.177,386.785,397.715,13088802
2021-09-12,395.313,397.725,379.984,381.228,12644410
2021-09-19,385.065,399.616,383.623,396.555,16873838
2021-09-26,393.499,395.748,382.197,384.219,14243553
