x y
0 -0.021760
1 -0.018567
2 0.023617
3 0.060746
4 -0.059538
5 -0.017791
6 -0.001255
7 -0.020482
8 0.036672
9 0.007662
10 -0.033377
11 -0.026955
12 0.050115
13 0.056579
14 0.017648
15 0.001480
16 0.006683
17 0.023377
18 0.009504
19 -0.020098
20 -0.005518
21 -0.058955
22 0.026158
23 0.030339
24 0.004490
25 -0.034140
26 0.017430
27 -0.034629
28 0.001152
29 -0.015666
30 -0.049705
31 0.011069
32 -0.001973
33 -0.004642
34 -0.011085
35 0.041106
36 -0.065809
37 0.026493
38 0.083161
39 -0.000449
40 0.037262
41 0.000576
42 0.011952
43 0.024133
44 0.079234
45 -0.023529
46 0.015083
47 0.074640
48 0.018552
49 -0.027019
50 -0.028310
51 0.008719
52 -0.016466
53 0.046577
54 0.003494
55 0.009521
56 -0.035720
57 0.007607
58 0.025620
59 -0.001796
60 -0.004347
61 0.003305
62 0.032742
63 -0.015276
64 -0.036734
65 0.019292
66 -0.008637
67 0.021646
68 0.032450
69 0.023217
70 0.021783
71 0.025636
72 0.004319
73 -0.047848
74 -0.026751
75 -0.029008
76 -0.031307
77 0.059343
78 -0.035467
79 0.075732
80 0.003884
81 -0.015109
82 -0.011454
83 -0.106998
84 0.022390
85 -0.001695
86 -0.135475
87 0.051863
88 -0.005905
89 0.062443
90 -0.018779
91 -0.033212
92 0.064121
93 -0.075689
94 0.028576
95 0.015285
96 -0.036632
97 0.023161
98 0.000398
99 0.062015
100 -0.011192
101 0.000095
102 0.012785
103 -0.053768
104 0.133264
105 0.009767
106 -0.016538
107 0.019231
108 0.032523
109 -0.023447
110 0.048832
111 0.040570
112 0.010021
113 -0.049415
114 0.028622
115 0.041738
116 0.032646
