x y
0 0.007577
1 -0.003597
2 -0.009188
3 -0.017884
4 -0.016523
5 -0.006686
6 -0.005868
7 -0.028125
8 -0.050732
9 -0.004705
10 0.031764
11 0.012278
12 0.027154
13 -0.000352
14 0.009520
15 0.022878
16 0.001195
17 -0.000512
18 -0.000171
19 -0.004778
20 0.010460
21 0.012557
22 0.012066
23 -0.009273
24 -0.007688
25 0.019707
26 -0.016188
27 -0.002854
28 0.030477
29 -0.027288
30 -0.000168
31 0.006048
32 0.010187
33 0.011407
34 -0.027297
35 -0.020669
36 0.032430
37 0.026093
38 0.006965
39 0.002895
40 0.010906
41 -0.016341
42 0.015000
43 0.015573
44 -0.021280
45 0.003517
46 0.014019
47 0.001728
48 -0.000941
49 0.024961
50 0.026957
51 0.034004
52 -0.009375
53 0.007280
54 0.008818
55 0.038401
56 -0.018352
57 0.003795
58 0.003221
59 0.002094
60 -0.022566
61 -0.008551
62 0.012505
63 -0.049972
64 -0.028542
65 -0.016767
66 -0.034105
67 0.035309
68 0.002503
69 -0.024189
70 0.009435
71 -0.009030
72 -0.001599
73 -0.011209
74 -0.011012
75 0.026854
76 -0.012598
77 0.025194
78 0.005671
79 0.078791
80 0.036010
81 -0.001962
82 0.003089
83 -0.031779
84 -0.007085
85 0.024756
86 -0.006253
87 0.021450
88 0.021980
89 -0.014932
90 -0.003616
91 -0.015771
92 0.020987
93 -0.003194
94 0.004598
95 -0.010402
96 -0.004625
97 -0.030696
98 0.021644
99 0.014503
100 -0.020743
101 -0.000286
102 -0.009735
103 -0.004482
104 0.021493
105 -0.005971
106 0.003003
107 -0.016256
108 -0.014930
109 -0.013979
110 -0.008655
111 -0.011441
112 0.014923
113 0.005851
114 0.020883
115 0.018556
116 -0.010472
