x y
0 0.013810
1 -0.017849
2 -0.021521
3 0.007331
4 -0.068413
5 0.006250
6 -0.024327
7 0.011671
8 0.011012
9 0.043568
10 -0.002982
11 -0.015454
12 -0.050127
13 -0.005330
14 -0.028403
15 -0.014341
16 -0.048125
17 -0.001176
18 0.019423
19 0.025404
20 0.023649
21 0.006601
22 0.004918
23 0.023382
24 0.015409
25 0.024071
26 0.012775
27 0.019677
28 0.013607
29 0.042470
30 -0.062280
31 0.002247
32 -0.041854
33 0.008840
34 0.001289
35 0.000257
36 -0.005147
37 -0.035696
38 -0.009657
39 0.019231
40 0.046505
41 0.001778
42 0.097845
43 -0.029785
44 -0.045931
45 -0.039162
46 -0.034268
47 -0.049462
48 0.030826
49 0.024417
50 -0.009641
51 0.012710
52 -0.025100
53 -0.030129
54 -0.035301
55 0.094555
56 0.029420
57 0.038711
58 -0.009505
59 0.094192
60 -0.009693
61 -0.019809
62 0.014265
63 0.021331
64 0.080101
65 0.011262
66 0.030889
67 -0.011007
68 -0.021641
69 0.055614
70 -0.031132
71 -0.042225
72 0.006022
73 -0.039333
74 0.082555
75 0.009866
76 -0.063301
77 -0.007605
78 0.087147
79 -0.029809
80 -0.020345
81 -0.038779
82 -0.004189
83 0.045827
84 -0.017782
85 0.008405
86 0.021800
87 -0.032420
88 -0.059230
89 -0.127298
90 0.082675
91 0.029912
92 0.045100
93 0.050610
94 0.026237
95 0.013621
96 0.103163
97 -0.043666
98 -0.006663
99 -0.036299
100 -0.019652
101 0.020672
102 0.125000
103 -0.010729
