x y
0 0.041054
1 -0.016006
2 -0.016267
3 0.048684
4 0.018411
5 0.009428
6 -0.015081
7 0.022969
8 -0.088535
9 0.025194
10 0.011013
11 -0.049784
12 0.021127
13 -0.037391
14 0.011663
15 -0.003716
16 -0.015109
17 -0.033401
18 0.013561
19 0.010010
20 -0.018938
21 0.026505
22 -0.026113
23 -0.030015
24 0.062403
25 -0.010000
26 -0.001961
27 0.019259
28 0.001060
29 0.019260
30 0.023998
31 0.026665
32 0.019951
33 0.024231
34 0.044133
35 -0.008239
36 -0.004071
37 -0.016016
38 -0.016616
39 0.006466
40 0.024754
41 -0.051989
42 0.033856
43 -0.038462
44 -0.032284
45 0.015122
46 0.039364
47 -0.015202
48 -0.000882
49 0.024720
50 0.010856
51 -0.003835
52 0.016855
53 -0.005721
54 -0.015655
55 0.013927
56 -0.044938
57 -0.013228
58 0.037067
59 0.004771
60 0.077793
61 -0.009773
62 -0.029124
63 -0.004333
64 -0.037995
65 0.053589
66 -0.014863
67 0.020786
68 -0.031448
69 -0.037216
70 -0.024038
71 -0.044839
72 0.005762
73 0.012960
74 -0.012238
75 0.054252
76 -0.032585
77 -0.016842
78 0.019283
79 -0.005969
80 0.022635
81 0.005782
82 -0.020749
83 0.026417
84 0.032172
85 0.019307
86 -0.113735
87 -0.011501
88 0.036649
89 0.015432
90 -0.021737
91 0.010357
92 0.008201
93 -0.047694
94 -0.007085
95 0.019257
96 0.075285
97 0.023011
98 -0.046382
99 0.025782
100 0.028788
101 -0.066361
102 0.024404
103 -0.006884
104 -0.025903
105 -0.002903
106 0.044981
107 0.027049
108 -0.044273
109 0.026824
110 0.005884
111 0.039000
112 -0.033783
113 -0.022338
114 0.013637
115 0.028065
116 -0.006066
